mechanism,seed,batches,source_seed,source_index,steps_executed,first_violation_step,mean_reward,max_normalized_safety_margin
poisoned_ppo_always_freeze_snapshot,2040,24,3040,6,100,,0.8882453677992185,-0.3774511594217841
poisoned_ppo_always_freeze_snapshot,2040,24,3040,8,100,,0.9505030074243753,-0.395211856291714
poisoned_ppo_always_freeze_snapshot,2040,24,3040,10,100,,0.9430135433294194,-0.39838397598383907
poisoned_ppo_always_freeze_snapshot,2040,24,3040,12,100,,0.932770913957749,-0.39914534188879186
poisoned_ppo_always_freeze_snapshot,2040,24,3040,14,100,,0.8811019189916739,-0.3722426517076173
poisoned_ppo_always_freeze_snapshot,2040,24,3041,0,100,,0.9445878096684478,-0.3540065534603395
poisoned_ppo_always_freeze_snapshot,2040,24,3041,2,100,,0.9341392192083354,-0.412515137539773
poisoned_ppo_always_freeze_snapshot,2040,24,3041,4,100,,0.9024402467860368,-0.3634876809538042
poisoned_ppo_always_freeze_snapshot,2040,24,3041,6,100,,0.899627877847444,-0.3753146750239335
poisoned_ppo_always_freeze_snapshot,2040,24,3041,8,100,,0.942153195472948,-0.38854824608420907
poisoned_ppo_always_freeze_snapshot,2040,24,3041,10,100,,0.9660202304980543,-0.4108173931066448
poisoned_ppo_always_freeze_snapshot,2040,24,3041,12,100,,0.9194884059148094,-0.3841749624133639
poisoned_ppo_always_freeze_snapshot,2040,24,3041,14,100,,0.9580085339488241,-0.3847339086902918
poisoned_ppo_always_freeze_snapshot,2040,24,3042,0,100,,0.8461420736766256,-0.35615399310954976
poisoned_ppo_always_freeze_snapshot,2040,24,3042,2,100,,0.8953312622866815,-0.40362207848739395
poisoned_ppo_always_freeze_snapshot,2040,24,3042,4,100,,0.9121010932552828,-0.379680223612222
poisoned_ppo_always_freeze_snapshot,2040,24,3042,6,100,,0.9848070226555201,-0.4574618794891553
poisoned_ppo_always_freeze_snapshot,2040,24,3042,8,100,,0.979089557545971,-0.41902212656611304
poisoned_ppo_always_freeze_snapshot,2040,24,3042,10,100,,0.9105178897708166,-0.3679175590409143
poisoned_ppo_always_freeze_snapshot,2040,24,3042,12,100,,0.8901434865105745,-0.34789860158610714
poisoned_ppo_always_freeze_snapshot,2040,24,3042,15,100,,0.9329362976343711,-0.347719599387112
