mechanism,seed,batch,true_reward_mean,logged_reward_mean,max_reward_poison,gradient_norm,w00,w01,w10,w11,distance_to_target,filter_interventions,filter_rejections,constraint_violations
poisoned_action_only_snapshot,2040,11,-0.1244359526885807,-0.37999789986939386,0.4699607020604287,0.5,-0.018017239998470023,0.008368415155115737,0.03509830096018334,-0.014275515558689306,0.023383460308852418,2,0,0
clean_reinforce_snapshot,2041,0,-0.21761882109202668,-0.21761882109202668,0.0,0.5,0.004347356102991598,-0.003921444167690508,-0.007956137968986097,0.00155648294944905,0.06708149043985567,2,0,0
clean_reinforce_snapshot,2041,1,-0.14108970035850002,-0.14108970035850002,0.0,0.5,0.0016988760331199271,0.005460530176523573,-0.00898908159363622,-0.0004176341170634664,0.06482798436771359,2,0,0
clean_reinforce_snapshot,2041,2,-0.23332096653516465,-0.23332096653516465,0.0,0.5,0.0029855398559459033,0.014457823518467819,-0.007057961574905149,0.0032788485623620345,0.06504709289261693,1,0,0
clean_reinforce_snapshot,2041,3,-0.09552795451110468,-0.09552795451110468,0.0,0.5,0.00491738627041008,0.010090603422566341,-0.005535488135233402,0.011932023279792064,0.06702766924021619,2,0,0
clean_reinforce_snapshot,2041,4,-0.2405734346951897,-0.2405734346951897,0.0,0.5,0.005706325696914662,0.002650318642397261,-0.007127640773688884,0.005491154786556839,0.06723624827211154,5,0,0
clean_reinforce_snapshot,2041,5,-0.1973796397274595,-0.1973796397274595,0.0,0.5,0.006283437392742762,-0.0051242368166609245,-0.001517705473021819,0.0027069393805768107,0.06444191638639923,1,0,0
clean_reinforce_snapshot,2041,6,-0.11296579287328,-0.11296579287328,0.0,0.5,0.007454209744906853,0.0007880229026243548,0.005415295632932571,-0.0012437533151361986,0.05954547238531969,1,0,0
clean_reinforce_snapshot,2041,7,-0.13700418939510553,-0.13700418939510553,0.0,0.5,0.011434533494678392,0.004487685463419237,0.008823567555181485,-0.008915337394533814,0.06025491989664607,2,0,0
clean_reinforce_snapshot,2041,8,-0.1277589843609389,-0.1277589843609389,0.0,0.5,0.012975365481668479,0.0050250000308019235,0.013096758513517983,-2.281419371292885e-05,0.06002216147891607,0,0,0
clean_reinforce_snapshot,2041,9,-0.13632229930730114,-0.13632229930730114,0.0,0.5,0.01047600253076986,0.003822275099055278,0.007545093342025061,0.007818464490396112,0.062199879435944634,1,0,0
clean_reinforce_snapshot,2041,10,-0.11193215708747802,-0.11193215708747802,0.0,0.5,0.009603476895422172,0.013150459116700252,0.007851893946380105,0.011301215606651963,0.062394469273780506,2,0,0
clean_reinforce_snapshot,2041,11,-0.19230023493396423,-0.19230023493396423,0.0,0.5,0.00928021564727795,0.007197677972954428,0.007457386090050785,0.0032822217563358985,0.060128974901693284,2,0,0
poisoned_action_only_snapshot,2041,0,-0.21761882109202668,0.12273759198090113,0.4999998869594062,0.5,-0.004993614150929955,0.0005903606316268995,0.008282935087331177,-0.002471493146928646,0.04813404616778254,2,0,0
poisoned_action_only_snapshot,2041,1,-0.15334850157493293,-0.4504714485213659,0.4728148151187903,0.5,-0.009837914237239467,0.0033138863712242174,0.006498029991913254,-0.010591177747938938,0.04539611519773556,2,0,0
poisoned_action_only_snapshot,2041,2,-0.19252873065091355,-0.37688437508992617,0.499536078440961,0.5,-0.009454847327955495,0.012293999997195725,0.009972982877595966,-0.00791993806383385,0.043047333888606765,2,0,0
poisoned_action_only_snapshot,2041,3,-0.09198924792147282,-0.02452616690577195,0.49748258262760253,0.5,-0.014272629549416788,0.015644972712449228,0.013891622863417417,-0.01500543148276519,0.038092868427586045,2,0,0
poisoned_action_only_snapshot,2041,4,-0.3175933866918141,-0.27229845739585906,0.49961123502265675,0.5,-0.013115661625991036,0.012538716102269887,0.018186727045615286,-0.006605153204044454,0.03494470014511348,4,0,0
poisoned_action_only_snapshot,2041,5,-0.1685324601057383,-0.4547262576892421,0.4971056501741569,0.5,-0.013615135542985629,0.013870846912065915,0.025047241493206078,0.0005299217658652697,0.03204641115903955,2,0,0
poisoned_action_only_snapshot,2041,6,-0.1026966937331714,-0.12028048752719965,0.4996161658541269,0.5,-0.019181634149041525,0.008874950433911781,0.03055233936656595,-0.003178043856018722,0.023381177204434653,0,0,0
poisoned_action_only_snapshot,2041,7,-0.1504835204737773,0.07750902930221891,0.4514266685765903,0.5,-0.024419794996204544,0.007198825072513318,0.02822269390441271,-0.01119833230050712,0.019807042626256727,2,0,0
poisoned_action_only_snapshot,2041,8,-0.13130578623553982,-0.25314821254573366,0.37771224087411664,0.5,-0.02504820577858424,-0.0014585831195697693,0.031567187741324984,-0.007528353518675078,0.019604992171964205,1,0,0
poisoned_action_only_snapshot,2041,9,-0.13278826921531092,0.0617554085211783,0.48718982014072465,0.5,-0.026644728615387255,0.007967314343060868,0.03449530886907339,-0.007700628057633086,0.014448376729432418,1,0,0
poisoned_action_only_snapshot,2041,10,-0.19368369163892474,-0.4205603120809165,0.32909972047279906,0.5,-0.030347780229998057,0.012288847437853852,0.03517980046850484,0.0004934693118423998,0.014385162609725225,1,0,0
poisoned_action_only_snapshot,2041,11,-0.1824559399766212,-0.43187334281746387,0.49919352226168534,0.5,-0.03171876412118556,0.006324994244314768,0.03500402129716776,-0.007413613585088811,0.00983301399311971,0,0,0
clean_reinforce_snapshot,2042,0,-0.18664625433593854,-0.18664625433593854,0.0,0.5,-0.0004445200946367083,-0.0011308560350400182,-0.00973475862178422,-0.0019385667615729818,0.06448484868980676,2,0,0
clean_reinforce_snapshot,2042,1,-0.13000620008710767,-0.13000620008710767,0.0,0.5,0.0003220679438386482,-0.0017618492705465043,-0.011060589860373912,0.00792329725304369,0.0676897192839985,1,0,0
clean_reinforce_snapshot,2042,2,-0.19390000296789253,-0.19390000296789253,0.0,0.5,-0.0032483194980596607,-0.00028350665995654535,-0.01906543673836243,0.0033418931996549908,0.07096947837449645,1,0,0
clean_reinforce_snapshot,2042,3,-0.15270524993673154,-0.15270524993673154,0.0,0.5,-0.0013296422823163305,-0.008673949971057835,-0.015732089965577713,0.007190001576162697,0.0714857970051816,0,0,0
clean_reinforce_snapshot,2042,4,-0.30289021000012883,-0.30289021000012883,0.0,0.5,9.753897491666464e-05,-0.016105451140120828,-0.02127109103372516,0.010662091897608793,0.07931775133582358,2,0,0
clean_reinforce_snapshot,2042,5,-0.24592587429665824,-0.24592587429665824,0.0,0.5,0.00277640728370063,-0.020068730266184054,-0.021769565751223848,0.019429509197425143,0.08476751657777423,1,0,0
clean_reinforce_snapshot,2042,6,-0.1358224605538284,-0.1358224605538284,0.0,0.5,0.0025410143765577466,-0.015826907052018453,-0.021875843708822857,0.028481593542743697,0.08681581714151317,5,0,0
clean_reinforce_snapshot,2042,7,-0.23685409086106926,-0.23685409086106926,0.0,0.5,0.006256621901573826,-0.01613372367800745,-0.022917478099412546,0.01926122901229256,0.08616202960679546,5,0,0
clean_reinforce_snapshot,2042,8,-0.07562806862667823,-0.07562806862667823,0.0,0.5,0.007084503417509238,-0.006174986063049517,-0.022970297696984523,0.018893305919640318,0.08429940087150858,1,0,0
clean_reinforce_snapshot,2042,9,-0.046360208766125705,-0.046360208766125705,0.0,0.5,0.007905819246661651,0.0027916690895196695,-0.022988830250888586,0.02324350042427272,0.08523991602356064,2,0,0
clean_reinforce_snapshot,2042,10,-0.12138691491951091,-0.12138691491951091,0.0,0.5,0.0055789726723261025,0.011953258569397853,-0.023555505831284372,0.020029477709936145,0.0831746652854305,1,0,0
clean_reinforce_snapshot,2042,11,-0.15519708423973147,-0.15519708423973147,0.0,0.5,0.008185869304807893,0.0042940726302427654,-0.023365370038887164,0.014155398286106943,0.08271422907644774,1,0,0
poisoned_action_only_snapshot,2042,0,-0.18664625433593854,0.12872854109943685,0.4987162648641878,0.5,-0.0014527349339415996,0.009122782634506424,0.0029705836206747505,-0.00241661564338076,0.05375410815169848,2,0,0
poisoned_action_only_snapshot,2042,1,-0.16917312866541445,0.11776841296509459,0.49349877024023114,0.5,-0.0014267688159891995,0.010201107406164098,0.004196217555327026,-0.012282433546919052,0.05284873803808246,1,0,0
poisoned_action_only_snapshot,2042,2,-0.25553337442647617,-0.13902111042572354,0.49687170085971266,0.5,-0.008065639956742948,0.015276394268956626,0.008156055412490096,-0.016088551960974345,0.04639192542509375,2,0,0
poisoned_action_only_snapshot,2042,3,-0.11830563379211444,-0.19051906387208814,0.4985997840224896,0.5,-0.007728635700411235,0.009083581523315572,0.007484635989133143,-0.008272882163280803,0.045825085533020615,2,0,0
poisoned_action_only_snapshot,2042,4,-0.25987105178472963,-0.19069878241987848,0.47036271978850897,0.5,-0.008518019368969886,-0.000535990633195883,0.007515467849988083,-0.005657589761686158,0.046094576202328603,0,0,0
poisoned_action_only_snapshot,2042,5,-0.21542539669197205,-0.15191109945679884,0.4994583832800355,0.5,-0.014494553821715607,-0.0007837902090346823,0.011665077578267947,0.0011980918534650756,0.04018899697155989,2,0,0
poisoned_action_only_snapshot,2042,6,-0.06598901256019067,-0.1560004314095038,0.47141973003436205,0.5,-0.015335031419220376,0.0008219318747636161,0.01062303380160793,-0.008580936665013597,0.039028566045034345,2,0,0
poisoned_action_only_snapshot,2042,7,-0.19193282477709997,-0.019405730621936946,0.4974710310185576,0.5,-0.0165571482405409,0.0010138375133458073,0.014557548414096408,-0.017690777358738183,0.036600591162214716,2,0,0
poisoned_action_only_snapshot,2042,8,-0.14567550202723042,-0.27583121058455234,0.49599822929292786,0.5,-0.017337220594064933,0.010971113795957185,0.014499037003693026,-0.01818140203184892,0.035726588819305946,1,0,0
poisoned_action_only_snapshot,2042,9,-0.053308209416768136,-0.03635688045283648,0.34740411056976067,0.5,-0.018019924428075776,0.0038048996949667556,0.015504505145562798,-0.011313482059289705,0.03334263067362538,2,0,0
poisoned_action_only_snapshot,2042,10,-0.12902691718060802,-0.2542448743883707,0.4882653103353487,0.5,-0.020654439479132442,0.00716605406297092,0.018270564142159003,-0.002704713890291796,0.029583012276915472,0,0,0
poisoned_action_only_snapshot,2042,11,-0.1407262792303897,0.11718397787657064,0.4965523110915424,0.5,-0.029148270341063202,0.009725277843190331,0.0154269772527902,-0.006340539042067092,0.026968942838618015,1,0,0
