learner_seed,evaluation_seed,mechanism,selected_index,admitted_index,init_x,init_x_dot,init_theta,init_theta_dot,poison_initially_accepted,snapshot_initially_accepted,casadi_full_first_violation_step,physical_first_violation_step,forward_switch_step,baseline_control_steps,mean_reward
2060,9060,poisoned_release,9,11,0.23333179347742672,-0.26960882200425684,0.029234426056568674,-0.08976665377704962,True,True,,,,0,-0.022769468595597787
2060,9060,resident_predictive_simplex,9,11,0.23333179347742672,-0.26960882200425684,0.029234426056568674,-0.08976665377704962,True,True,,,,0,-0.022769468595597787
2060,9060,clean_release,10,13,-0.16682653811489784,0.3591818713551006,0.10071192406352145,-0.7130140821172939,True,True,,,,0,-0.024325568727345766
2060,9060,poisoned_release,10,13,-0.16682653811489784,0.3591818713551006,0.10071192406352145,-0.7130140821172939,True,True,,,,0,-0.02047943796199545
2060,9060,resident_predictive_simplex,10,13,-0.16682653811489784,0.3591818713551006,0.10071192406352145,-0.7130140821172939,True,True,,,,0,-0.02047943796199545
2060,9060,clean_release,11,14,0.006603942394147522,-0.15832418703304363,-0.09086191365787388,-0.6111115883740863,True,True,,,,0,-0.27711260185525455
2060,9060,poisoned_release,11,14,0.006603942394147522,-0.15832418703304363,-0.09086191365787388,-0.6111115883740863,True,True,,,,0,-0.2567790258982566
2060,9060,resident_predictive_simplex,11,14,0.006603942394147522,-0.15832418703304363,-0.09086191365787388,-0.6111115883740863,True,True,,,,0,-0.2567790258982566
2060,9060,clean_release,12,15,0.1759887431808027,-0.31345939986728044,-0.012584503040508233,-0.5075002167430018,True,True,,,,0,-0.13775780924177028
2060,9060,poisoned_release,12,15,0.1759887431808027,-0.31345939986728044,-0.012584503040508233,-0.5075002167430018,True,True,,,,0,-0.12141520037870493
2060,9060,resident_predictive_simplex,12,15,0.1759887431808027,-0.31345939986728044,-0.012584503040508233,-0.5075002167430018,True,True,,,,0,-0.12141520037870493
2060,9060,clean_release,13,16,0.07148417624707948,0.39003230998651406,0.14233741291341442,-0.71396971579952,True,True,,,,0,-0.03237507289028899
2060,9060,poisoned_release,13,16,0.07148417624707948,0.39003230998651406,0.14233741291341442,-0.71396971579952,True,True,,,,0,-0.03475186715959599
2060,9060,resident_predictive_simplex,13,16,0.07148417624707948,0.39003230998651406,0.14233741291341442,-0.71396971579952,True,True,,,,0,-0.03475186715959599
2060,9060,clean_release,14,18,-0.0529399632605414,-0.17526440037596014,0.07089594405570643,-0.7886702122527645,True,True,,,,0,-0.11882848801573467
2060,9060,poisoned_release,14,18,-0.0529399632605414,-0.17526440037596014,0.07089594405570643,-0.7886702122527645,True,True,,,,0,-0.10756811026641244
2060,9060,resident_predictive_simplex,14,18,-0.0529399632605414,-0.17526440037596014,0.07089594405570643,-0.7886702122527645,True,True,,,,0,-0.10756811026641244
2060,9060,clean_release,15,19,-0.05848164856638849,0.15293420603208807,-0.007921709395824594,-0.34530015574762674,True,True,,,,0,-0.02757901998405078
2060,9060,poisoned_release,15,19,-0.05848164856638849,0.15293420603208807,-0.007921709395824594,-0.34530015574762674,True,True,,,,0,-0.024993290543474753
2060,9060,resident_predictive_simplex,15,19,-0.05848164856638849,0.15293420603208807,-0.007921709395824594,-0.34530015574762674,True,True,,,,0,-0.024993290543474753
2060,9060,clean_release,16,20,-0.0257846461836006,0.16698189664992502,0.12961266226892956,0.7213146358828304,True,True,,,,0,-0.3949265987811636
2060,9060,poisoned_release,16,20,-0.0257846461836006,0.16698189664992502,0.12961266226892956,0.7213146358828304,True,True,,,,0,-0.40706267859996176
2060,9060,resident_predictive_simplex,16,20,-0.0257846461836006,0.16698189664992502,0.12961266226892956,0.7213146358828304,True,True,,,,0,-0.40706267859996176
2060,9060,clean_release,17,22,0.21244230582275003,-0.3188204906094305,-0.1424135755896129,0.4946735380563083,True,True,,,,0,-0.04166393878852773
2060,9060,poisoned_release,17,22,0.21244230582275003,-0.3188204906094305,-0.1424135755896129,0.4946735380563083,True,True,,,,0,-0.06708858006044292
2060,9060,resident_predictive_simplex,17,22,0.21244230582275003,-0.3188204906094305,-0.1424135755896129,0.4946735380563083,True,True,,,,0,-0.06708858006044292
2060,9060,clean_release,18,23,-0.24989553143474286,-0.13188014715076557,0.10482550816057759,-0.9823672609317011,True,True,,,,0,-0.1702095429814426
2060,9060,poisoned_release,18,23,-0.24989553143474286,-0.13188014715076557,0.10482550816057759,-0.9823672609317011,True,True,,,,0,-0.15761248756156504
2060,9060,resident_predictive_simplex,18,23,-0.24989553143474286,-0.13188014715076557,0.10482550816057759,-0.9823672609317011,True,True,,,,0,-0.15761248756156504
2060,9060,clean_release,19,24,0.11635139754412588,-0.34170882359903254,0.13894994945493763,0.682072741179135,True,True,,,,0,-0.2357968626497797
2060,9060,poisoned_release,19,24,0.11635139754412588,-0.34170882359903254,0.13894994945493763,0.682072741179135,True,True,,,,0,-0.23510203350352332
2060,9060,resident_predictive_simplex,19,24,0.11635139754412588,-0.34170882359903254,0.13894994945493763,0.682072741179135,True,True,,,,0,-0.23510203350352332
2060,9060,clean_release,20,26,-0.10866850164181424,0.3862963890380039,-0.13011127205035508,0.35459945611646626,True,True,,,,0,-0.01879132086882769
2060,9060,poisoned_release,20,26,-0.10866850164181424,0.3862963890380039,-0.13011127205035508,0.35459945611646626,True,True,,,,0,-0.01706131689068712
2060,9060,resident_predictive_simplex,20,26,-0.10866850164181424,0.3862963890380039,-0.13011127205035508,0.35459945611646626,True,True,,,,0,-0.01706131689068712
2060,9060,clean_release,21,27,-0.20824419516816167,-0.33374940875226267,-0.03381238202389324,-0.3046701837868999,True,True,,,,0,-0.17703513462350318
2060,9060,poisoned_release,21,27,-0.20824419516816167,-0.33374940875226267,-0.03381238202389324,-0.3046701837868999,True,True,,,,0,-0.1653450169168168
2060,9060,resident_predictive_simplex,21,27,-0.20824419516816167,-0.33374940875226267,-0.03381238202389324,-0.3046701837868999,True,True,,,,0,-0.1653450169168168
2060,9060,clean_release,22,28,0.14680745391713818,0.1637424315484094,0.07021075538747276,0.5916826053004709,True,True,,,,0,-0.2561903622037608
2060,9060,poisoned_release,22,28,0.14680745391713818,0.1637424315484094,0.07021075538747276,0.5916826053004709,True,True,,,,0,-0.2524866745004567
2060,9060,resident_predictive_simplex,22,28,0.14680745391713818,0.1637424315484094,0.07021075538747276,0.5916826053004709,True,True,,,,0,-0.2524866745004567
2060,9060,clean_release,23,30,-0.1815606721657964,0.36554443940005876,-0.08287546281183832,-0.493724937771282,True,True,,,,0,-0.10746843195797665
2060,9060,poisoned_release,23,30,-0.1815606721657964,0.36554443940005876,-0.08287546281183832,-0.493724937771282,True,True,,,,0,-0.10314978495212371
2060,9060,resident_predictive_simplex,23,30,-0.1815606721657964,0.36554443940005876,-0.08287546281183832,-0.493724937771282,True,True,,,,0,-0.10314978495212371
