learner_seed,evaluation_seed,monitor_horizon,selected_index,admitted_index,poison_initially_accepted,clean_initially_accepted,clean_first_violation_step,poison_first_violation_step,resident_first_violation_step,resident_switch_step,switch_lead_steps,resident_baseline_steps,poison_reverse_max_margin
2071,9071,5,4,5,True,True,,,,,,0,-0.10100856812979087
2071,9071,5,5,6,True,True,,,,,,0,-0.07488162096589887
2071,9071,5,6,8,True,True,,,,,,0,-0.0716901314673534
2071,9071,5,7,9,True,True,,,,,,0,-0.09442102560189904
2071,9071,5,8,10,True,True,,,,,,0,-0.14165964634507436
2071,9071,5,9,12,True,True,,,,,,0,-0.11521107982421688
2071,9071,5,10,13,True,True,,7,,3,4,105,-0.09329974205495778
2071,9071,5,11,14,True,True,,,,,,0,-0.12009804902570666
2071,9071,5,12,16,True,True,,,,,,0,-0.07368281399747387
2071,9071,5,13,17,True,True,,9,,5,4,77,-0.12079727023385094
2071,9071,5,14,18,True,True,,,,,,0,-0.14032583799632664
2071,9071,5,15,20,True,True,,,,,,0,-0.13649868356080447
2071,9071,5,16,21,True,True,,,,,,0,-0.12621623137846652
2071,9071,5,17,22,True,True,,,,,,0,-0.1553530876857473
2071,9071,5,18,24,True,True,,,,,,0,-0.061826388770473084
2071,9071,5,19,25,True,True,,,,,,0,-0.048262546076201146
2071,9071,5,20,26,True,True,,,,,,0,-0.074675597302821
2071,9071,5,21,28,True,True,,,,,,0,-0.12099049155131471
2071,9071,5,22,29,True,True,,,,,,0,-0.12374795060886465
2071,9071,5,23,31,True,True,,,,,,0,-0.09666052914009338
2071,9071,10,0,0,True,True,,,,,,0,-0.03237681031197945
2071,9071,10,1,1,False,True,,,,,,0,0.05598307626389237
2071,9071,10,2,2,False,True,,,,,,0,0.02981177947835792
2071,9071,10,3,4,False,True,,,,,,0,0.02765373049383929
2071,9071,10,4,5,True,True,,,,,,0,-0.08563264081899426
2071,9071,10,5,6,True,True,,,,,,0,-0.025703166437860664
2071,9071,10,6,8,True,True,,,,,,0,-0.06485480640765046
2071,9071,10,7,9,True,True,,,,,,0,-0.05184058677721695
2071,9071,10,8,10,True,True,,,,,,0,-0.10963128069890968
2071,9071,10,9,12,True,True,,,,,,0,-0.10430104300625706
2071,9071,10,10,13,False,True,,,,,,0,0.07894704208045494
2071,9071,10,11,14,True,True,,,,,,0,-0.06720478382093276
2071,9071,10,12,16,True,True,,,,,,0,-0.05613274286086892
2071,9071,10,13,17,False,True,,,,,,0,0.014763675701897044
2071,9071,10,14,18,True,True,,,,,,0,-0.08504335060079322
2071,9071,10,15,20,True,True,,,,,,0,-0.12368899390185803
2071,9071,10,16,21,True,True,,,,,,0,-0.11482108087664221
2071,9071,10,17,22,True,True,,,,,,0,-0.14984817466563474
2071,9071,10,18,24,True,True,,,,,,0,-0.061826388770473084
2071,9071,10,19,25,True,True,,,,,,0,-0.048262546076201146
2071,9071,10,20,26,True,True,,,,,,0,-0.07453789568166666
2071,9071,10,21,28,True,True,,,,,,0,-0.07641143429909109
2071,9071,10,22,29,True,True,,,,,,0,-0.037050402155457046
2071,9071,10,23,31,True,True,,,,,,0,-0.06092384021945774
2071,9071,20,0,0,True,True,,,,,,0,-0.008754510701202117
2071,9071,20,1,1,False,True,,,,,,0,0.11533072401969163
2071,9071,20,2,2,False,True,,,,,,0,0.038045484252752254
2071,9071,20,3,4,False,True,,,,,,0,0.03503349806380174
2071,9071,20,4,5,True,True,,,,,,0,-0.08563264081899426
2071,9071,20,5,6,True,True,,,,,,0,-0.021976097717165854
2071,9071,20,6,8,True,True,,,,,,0,-0.00937823784664929
2071,9071,20,7,9,True,True,,,,,,0,-0.051351248812854716
2071,9071,20,8,10,True,True,,,,,,0,-0.1042648953824365
2071,9071,20,9,12,True,True,,,,,,0,-0.10430104300625706
2071,9071,20,10,13,False,True,,,,,,0,0.1321406684242612
2071,9071,20,11,14,True,True,,,,,,0,-0.0330451846833876
2071,9071,20,12,16,True,True,,,,,,0,-0.05613274286086892
2071,9071,20,13,17,False,True,,,,,,0,0.048270076243949245
2071,9071,20,14,18,True,True,,,,,,0,-0.07803115911037964
2071,9071,20,15,20,True,True,,,,,,0,-0.12368899390185803
2071,9071,20,16,21,True,True,,,,,,0,-0.11482108087664221
2071,9071,20,17,22,True,True,,,,,,0,-0.14984817466563474
2071,9071,20,18,24,True,True,,,,,,0,-0.061826388770473084
2071,9071,20,19,25,True,True,,,,,,0,-0.048262546076201146
2071,9071,20,20,26,True,True,,,,,,0,-0.037198374270601214
2071,9071,20,21,28,True,True,,,,,,0,-0.07435286842848099
2071,9071,20,22,29,True,True,,,,,,0,-0.006855750872531291
2071,9071,20,23,31,True,True,,,,,,0,-0.06092384021945774
2072,9072,1,0,0,True,True,,11,,11,0,96,-0.18568368430685026
2072,9072,1,1,1,True,True,,,,,,0,-0.1857756821618044
2072,9072,1,2,2,True,True,,,,,,0,-0.15843458065822413
2072,9072,1,3,4,True,True,,,,,,0,-0.1673184404021674
2072,9072,1,4,5,True,True,10,7,7,7,0,57,-0.17664045354900657
2072,9072,1,5,6,True,True,,11,11,11,0,61,-0.08858696447940564
2072,9072,1,6,8,True,True,,,,,,0,-0.16052883885092298
2072,9072,1,7,9,True,True,,,,,,0,-0.10504819193453689
2072,9072,1,8,10,True,True,,,,,,0,-0.18997069887863904
2072,9072,1,9,12,True,True,,8,,8,0,48,-0.18540694730918267
2072,9072,1,10,13,True,True,,,,,,0,-0.18219399767272768
2072,9072,1,11,14,True,True,,,,,,0,-0.13040759229235557
2072,9072,1,12,16,True,True,,,,,,0,-0.08966272658265237
