benchmark,rho,mechanism,kernel,kernel_low,kernel_high,kernel_width,current_kernel_width,cert_accepts,cert_rejects,learn_updates,learn_update_rate,uncertified_learning,uncertified_learning_rate,unsafe_certified,unsafe_certified_rate,stale_certified_policy,stale_certified_policy_rate,interventions,intervention_rate,final_theta,max_violation,attack_goal,rho_budget,selected_rho
adaptive_unsafe,0.500000,always_freeze,"[-0.400,0.400]",-0.400000,0.400000,0.600000,0.800000,5,0,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,"(-1.200000,0.000000)",0.000000,unsafe,0.500000,0.500000
adaptive_unsafe,0.500000,lifecycle_gate_project,"[-0.400,0.400]",-0.400000,0.400000,0.600000,0.800000,5,0,5,1.000000,0,0.000000,0,0.000000,0,0.000000,5,1.000000,"(-1.600000,0.000000)",0.000000,unsafe,0.500000,0.500000
adaptive_unsafe,0.700000,ungated,"[-0.160,0.160]",-0.160000,0.160000,0.320000,0.320000,5,0,5,1.000000,0,0.000000,5,1.000000,5,1.000000,0,0.000000,"(-2.000000,0.800000)",1.040000,unsafe,0.700000,0.700000
adaptive_unsafe,0.700000,robust_action_filter_update_ungated,"[-0.160,0.160]",-0.160000,0.160000,0.320000,0.320000,5,0,5,1.000000,0,0.000000,0,0.000000,5,1.000000,5,1.000000,"(-2.000000,0.800000)",1.040000,unsafe,0.700000,0.700000
adaptive_unsafe,0.700000,always_freeze,"[-0.160,0.160]",-0.160000,0.160000,0.320000,0.320000,5,0,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,"(-1.200000,0.000000)",0.000000,unsafe,0.700000,0.700000
adaptive_unsafe,0.700000,lifecycle_gate_project,"[-0.160,0.160]",-0.160000,0.160000,0.320000,0.320000,5,0,5,1.000000,0,0.000000,0,0.000000,0,0.000000,5,1.000000,"(-1.168947,0.152237)",0.000000,unsafe,0.700000,0.700000
adaptive_unsafe,0.800000,ungated,"[-0.040,0.040]",-0.040000,0.040000,0.080000,0.080000,5,0,5,1.000000,0,0.000000,5,1.000000,5,1.000000,0,0.000000,"(-2.000000,0.800000)",1.160000,unsafe,0.800000,0.800000
adaptive_unsafe,0.800000,robust_action_filter_update_ungated,"[-0.040,0.040]",-0.040000,0.040000,0.080000,0.080000,5,0,5,1.000000,0,0.000000,0,0.000000,5,1.000000,5,1.000000,"(-2.000000,0.800000)",1.160000,unsafe,0.800000,0.800000
adaptive_unsafe,0.800000,always_freeze,"[-0.040,0.040]",-0.040000,0.040000,0.080000,0.080000,5,0,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,"(-1.200000,0.000000)",0.000000,unsafe,0.800000,0.800000
adaptive_unsafe,0.800000,lifecycle_gate_project,"[-0.040,0.040]",-0.040000,0.040000,0.080000,0.080000,5,0,5,1.000000,0,0.000000,0,0.000000,0,0.000000,5,1.000000,"(-1.130641,0.040000)",0.000000,unsafe,0.800000,0.800000
adaptive_freeze,0.700000,ungated,"[-0.160,0.160]",-0.160000,0.160000,0.320000,0.320000,5,0,5,1.000000,0,0.000000,4,0.800000,5,1.000000,0,0.000000,"(-2.000000,0.800000)",1.040000,freeze,0.700000,0.700000
adaptive_freeze,0.700000,robust_action_filter_update_ungated,"[-0.160,0.160]",-0.160000,0.160000,0.320000,0.320000,5,0,5,1.000000,0,0.000000,0,0.000000,5,1.000000,4,0.800000,"(-2.000000,0.800000)",1.040000,freeze,0.700000,0.700000
adaptive_freeze,0.700000,always_freeze,"[-0.160,0.160]",-0.160000,0.160000,0.320000,0.320000,5,0,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,"(-1.200000,0.000000)",0.000000,freeze,0.700000,0.700000
adaptive_freeze,0.700000,lifecycle_gate_project,"[-0.160,0.160]",-0.160000,0.160000,0.320000,0.320000,5,0,1,0.200000,0,0.000000,0,0.000000,0,0.000000,5,1.000000,"(-1.520000,0.000000)",0.000000,freeze,0.700000,0.700000
adaptive_freeze,0.800000,ungated,"[-0.040,0.040]",-0.040000,0.040000,0.080000,0.080000,5,0,5,1.000000,0,0.000000,4,0.800000,5,1.000000,0,0.000000,"(-2.000000,0.800000)",1.160000,freeze,0.800000,0.800000
adaptive_freeze,0.800000,robust_action_filter_update_ungated,"[-0.040,0.040]",-0.040000,0.040000,0.080000,0.080000,5,0,5,1.000000,0,0.000000,0,0.000000,5,1.000000,4,0.800000,"(-2.000000,0.800000)",1.160000,freeze,0.800000,0.800000
adaptive_freeze,0.800000,always_freeze,"[-0.040,0.040]",-0.040000,0.040000,0.080000,0.080000,5,0,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,"(-1.200000,0.000000)",0.000000,freeze,0.800000,0.800000
adaptive_freeze,0.800000,lifecycle_gate_project,"[-0.040,0.040]",-0.040000,0.040000,0.080000,0.080000,5,0,1,0.200000,0,0.000000,0,0.000000,0,0.000000,5,1.000000,"(-1.280000,0.000000)",0.000000,freeze,0.800000,0.800000
adaptive_freeze,0.840000,ungated,empty,,,0.000000,0.000000,5,0,5,1.000000,0,0.000000,5,1.000000,5,1.000000,0,0.000000,"(1.050000,0.000000)",inf,freeze,0.840000,0.840000
adaptive_freeze,0.840000,robust_action_filter_update_ungated,empty,,,0.000000,0.000000,0,5,5,1.000000,5,1.000000,0,0.000000,0,0.000000,5,1.000000,"(1.050000,0.000000)",inf,freeze,0.840000,0.840000
adaptive_freeze,0.840000,always_freeze,empty,,,0.000000,0.000000,0,5,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,"(-1.200000,0.000000)",inf,freeze,0.840000,0.840000
adaptive_freeze,0.840000,lifecycle_gate_project,empty,,,0.000000,0.000000,0,5,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,"(-1.200000,0.000000)",inf,freeze,0.840000,0.840000
adaptive_freeze,0.850000,ungated,empty,,,0.000000,0.000000,5,0,5,1.000000,0,0.000000,5,1.000000,5,1.000000,0,0.000000,"(1.050000,0.000000)",inf,freeze,0.850000,0.850000
adaptive_freeze,0.850000,robust_action_filter_update_ungated,empty,,,0.000000,0.000000,0,5,5,1.000000,5,1.000000,0,0.000000,0,0.000000,5,1.000000,"(1.050000,0.000000)",inf,freeze,0.850000,0.850000
adaptive_freeze,0.850000,always_freeze,empty,,,0.000000,0.000000,0,5,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,"(-1.200000,0.000000)",inf,freeze,0.850000,0.850000
adaptive_freeze,0.850000,lifecycle_gate_project,empty,,,0.000000,0.000000,0,5,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,"(-1.200000,0.000000)",inf,freeze,0.850000,0.850000
adaptive_freeze,0.900000,ungated,empty,,,0.000000,0.000000,5,0,5,1.000000,0,0.000000,5,1.000000,5,1.000000,0,0.000000,"(1.050000,0.000000)",inf,freeze,0.900000,0.900000
adaptive_freeze,0.900000,robust_action_filter_update_ungated,empty,,,0.000000,0.000000,0,5,5,1.000000,5,1.000000,0,0.000000,0,0.000000,5,1.000000,"(1.050000,0.000000)",inf,freeze,0.900000,0.900000
adaptive_freeze,0.900000,always_freeze,empty,,,0.000000,0.000000,0,5,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,"(-1.200000,0.000000)",inf,freeze,0.900000,0.900000
adaptive_freeze,0.900000,lifecycle_gate_project,empty,,,0.000000,0.000000,0,5,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,"(-1.200000,0.000000)",inf,freeze,0.900000,0.900000
