learner_seed,source_seed,source_index,freeze_max_margin,commit_max_margin,freeze_certificate_safe,commit_certificate_safe,common_admitted,selected_for_deployment
2040,5051,20,-0.1711263502860118,-0.10781620860574873,True,True,True,False
2040,5051,21,-0.1823758119180205,-0.15406184703770007,True,True,True,False
2040,5051,22,-0.16321558568996494,-0.12448486702708628,True,True,True,False
2040,5051,23,-0.1614495852904872,-0.07936188414154505,True,True,True,False
2040,5051,24,-0.18990866924129524,-0.16420442678511968,True,True,True,False
2040,5051,25,-0.1549519208176864,-0.08786457909563648,True,True,True,False
2040,5051,26,-0.1751673954547605,-0.11107052173524538,True,True,True,False
2040,5051,27,-0.1844917263962879,-0.14741905777080488,True,True,True,False
2040,5051,28,-0.18805051617303403,-0.162881185660468,True,True,True,False
2040,5051,29,-0.15162953250505745,-0.04278493822239271,True,True,True,False
2040,5051,30,-0.15219956503330656,-0.10345542796899308,True,True,True,False
2040,5051,31,-0.1925020144759512,-0.17117890270685682,True,True,True,False
2040,5051,32,-0.16339163209957683,-0.08434229831200725,True,True,True,False
2040,5051,33,-0.18825770214976909,-0.17370128821717817,True,True,True,False
2040,5051,34,-0.16350841588553439,-0.08465417905878704,True,True,True,True
2040,5051,35,-0.16542167501876048,-0.0797076612390409,True,True,True,False
2040,5051,36,-0.1488670935208153,-0.037953149490399435,True,True,True,False
2040,5051,37,-0.18426330663621068,-0.17849183521902548,True,True,True,False
2040,5051,38,-0.15522966296636365,-0.058609437304916245,True,True,True,False
2040,5051,39,-0.1798811541641726,-0.16143199811855916,True,True,True,False
2040,5051,40,-0.17196219143960562,-0.14772970645366393,True,True,True,False
2040,5051,41,-0.15691508101332075,-0.057277675947640494,True,True,True,False
2040,5051,42,-0.15713777013953428,-0.059664020436944826,True,True,True,False
2040,5051,43,-0.148257343187141,-0.036306947161069525,True,True,True,False
2040,5051,44,-0.17355538284740546,-0.11157173390983365,True,True,True,False
2040,5051,45,-0.1567204570756154,-0.09718550099978393,True,True,True,False
2040,5051,46,-0.18253454329661511,-0.14050365352056632,True,True,True,False
2040,5051,47,-0.170578126603806,-0.10575716475917532,True,True,True,False
