learner_seed,evaluation_seed,mechanism,selected_index,admitted_index,candidate_states,baseline_admitted_states,init_x,init_x_dot,init_theta,init_theta_dot,poison_initially_accepted,snapshot_initially_accepted,reverse_switch_max_margin,casadi_full_first_violation_step,physical_first_violation_step,forward_switch_step,baseline_control_steps,mean_reward
2070,9070,resident_predictive_simplex,10,13,32,32,-0.10095589237587976,0.14252220189560783,-0.09351975811938129,-0.5540973434626515,True,True,-0.0947104047539696,11,,7,66,-0.3846620690275422
2070,9070,clean_release,11,14,32,32,-0.0612089413283497,-0.41807240525958955,-0.06288620182237716,0.1314371452650649,True,True,-0.1448797365440484,,,,0,-0.06681191611060697
2070,9070,poisoned_release,11,14,32,32,-0.0612089413283497,-0.41807240525958955,-0.06288620182237716,0.1314371452650649,True,True,-0.12177746565358603,9,9,,0,-1.4315965855387873
2070,9070,resident_predictive_simplex,11,14,32,32,-0.0612089413283497,-0.41807240525958955,-0.06288620182237716,0.1314371452650649,True,True,-0.12177746565358603,9,,5,55,-0.27669472954385466
2070,9070,clean_release,12,16,32,32,-0.09467554722951516,0.20864900810529297,0.10237448586693079,0.0816048155303466,True,True,-0.10012247209668247,,,,0,-0.08555068532264042
2070,9070,poisoned_release,12,16,32,32,-0.09467554722951516,0.20864900810529297,0.10237448586693079,0.0816048155303466,True,True,-0.07260765314512155,,,,0,-1.332466458234577
2070,9070,resident_predictive_simplex,12,16,32,32,-0.09467554722951516,0.20864900810529297,0.10237448586693079,0.0816048155303466,True,True,-0.07260765314512155,,,,0,-1.332466458234577
2070,9070,clean_release,13,17,32,32,0.24405087050059088,0.1453130036545871,0.1247761506829648,0.6759948934923605,True,True,-0.05811650295493351,,,,0,-0.4407212649348613
2070,9070,poisoned_release,13,17,32,32,0.24405087050059088,0.1453130036545871,0.1247761506829648,0.6759948934923605,True,True,-0.04907104705846607,,,,0,-1.626018158668099
2070,9070,resident_predictive_simplex,13,17,32,32,0.24405087050059088,0.1453130036545871,0.1247761506829648,0.6759948934923605,True,True,-0.04907104705846607,,,,0,-1.626018158668099
2070,9070,clean_release,14,18,32,32,-0.08515394998419995,-0.012951648481000055,0.09410756994769481,-0.5461154000609161,True,True,-0.12393081841662304,,,,0,-0.018504663574125096
2070,9070,poisoned_release,14,18,32,32,-0.08515394998419995,-0.012951648481000055,0.09410756994769481,-0.5461154000609161,True,True,-0.059672678025214004,8,8,,0,-1.3893559278038106
2070,9070,resident_predictive_simplex,14,18,32,32,-0.08515394998419995,-0.012951648481000055,0.09410756994769481,-0.5461154000609161,True,True,-0.059672678025214004,8,,4,58,-0.20195197857152958
2070,9070,clean_release,15,20,32,32,0.024347915294039735,0.35989788740156214,0.11154157888403646,-0.48424250313212935,True,True,-0.10779105211782537,,,,0,-0.030037366929015263
2070,9070,poisoned_release,15,20,32,32,0.024347915294039735,0.35989788740156214,0.11154157888403646,-0.48424250313212935,True,True,-0.08316474001641053,,,,0,-1.3154760260429545
2070,9070,resident_predictive_simplex,15,20,32,32,0.024347915294039735,0.35989788740156214,0.11154157888403646,-0.48424250313212935,True,True,-0.08316474001641053,,,,0,-1.3154760260429545
2070,9070,clean_release,16,21,32,32,0.11524947855520407,0.4673085681334823,-0.07123836352820913,0.020057144209397082,True,True,-0.11818507454318396,,,,0,-0.030889163366081003
2070,9070,poisoned_release,16,21,32,32,0.11524947855520407,0.4673085681334823,-0.07123836352820913,0.020057144209397082,True,True,-0.13411915003264557,,,,0,-1.2347156256510972
2070,9070,resident_predictive_simplex,16,21,32,32,0.11524947855520407,0.4673085681334823,-0.07123836352820913,0.020057144209397082,True,True,-0.13411915003264557,,,,0,-1.2347156256510972
2070,9070,clean_release,17,22,32,32,-0.17634790807470613,0.05449213927692187,-0.13057606744071565,0.5151617288176322,True,True,-0.08756217683947104,,,,0,-0.01513773572161024
