learner_seed,evaluation_seed,mechanism,selected_index,init_x,init_x_dot,init_theta,init_theta_dot,snapshot_initially_accepted,casadi_full_first_violation_step,physical_first_violation_step,forward_switch_step,baseline_control_steps,mean_reward
2302,9302,clean_permanent_raw_release,10,-0.13878900837336688,0.09893918709215488,-0.11017460284608979,-0.6574407850173618,True,,,,0,-0.3479005481278378
2302,9302,clean_resident_predictive_authority,10,-0.13878900837336688,0.09893918709215488,-0.11017460284608979,-0.6574407850173618,True,,,,0,-0.3479005481278378
2302,9302,clean_permanent_raw_release,11,-0.07250470004235943,-0.1717122730422609,-0.14351486304728528,-0.7579545955882012,True,,,,0,-0.6078453989362717
2302,9302,clean_resident_predictive_authority,11,-0.07250470004235943,-0.1717122730422609,-0.14351486304728528,-0.7579545955882012,True,,,,0,-0.6078453989362717
2302,9302,clean_permanent_raw_release,12,0.20634830340353538,-0.22834566542665924,0.11498850840080413,-0.5351844305233202,True,,,,0,-0.11381939054297113
2302,9302,clean_resident_predictive_authority,12,0.20634830340353538,-0.22834566542665924,0.11498850840080413,-0.5351844305233202,True,,,,0,-0.11381939054297113
2302,9302,clean_permanent_raw_release,13,-0.09130284376950226,-0.4981720504045779,0.13112871883816732,-0.7083582070204482,True,,,,0,-0.2184060484077955
2302,9302,clean_resident_predictive_authority,13,-0.09130284376950226,-0.4981720504045779,0.13112871883816732,-0.7083582070204482,True,,,,0,-0.2184060484077955
2302,9302,clean_permanent_raw_release,14,-0.2401015147095491,-0.07623928661558299,0.03163244481833122,0.7552624037789375,True,,,,0,-0.18985663311768158
2302,9302,clean_resident_predictive_authority,14,-0.2401015147095491,-0.07623928661558299,0.03163244481833122,0.7552624037789375,True,,,,0,-0.18985663311768158
2302,9302,clean_permanent_raw_release,15,-0.017062295174586795,-0.1527304097962675,0.022817209265473287,-0.029782943248963578,True,,,,0,-0.0978452590978307
2302,9302,clean_resident_predictive_authority,15,-0.017062295174586795,-0.1527304097962675,0.022817209265473287,-0.029782943248963578,True,,,,0,-0.0978452590978307
2302,9302,clean_permanent_raw_release,16,0.0786112216252558,-0.28466750054289414,-0.11499567848450509,-0.24143138928332375,True,,,,0,-0.27115085038598924
2302,9302,clean_resident_predictive_authority,16,0.0786112216252558,-0.28466750054289414,-0.11499567848450509,-0.24143138928332375,True,,,,0,-0.27115085038598924
2302,9302,clean_permanent_raw_release,17,0.2250008046268709,-0.1645214094788624,0.004461143316192684,-0.3545650299062917,True,,,,0,-0.129653996356386
2302,9302,clean_resident_predictive_authority,17,0.2250008046268709,-0.1645214094788624,0.004461143316192684,-0.3545650299062917,True,,,,0,-0.129653996356386
2302,9302,clean_permanent_raw_release,18,-0.20286203268326136,-0.16605498060280444,-0.13378302069856457,0.023476498550019986,True,,,,0,-0.22661092149426215
2302,9302,clean_resident_predictive_authority,18,-0.20286203268326136,-0.16605498060280444,-0.13378302069856457,0.023476498550019986,True,,,,0,-0.22661092149426215
