mechanism,rollout,init_x,init_x_dot,init_z,init_z_dot,init_theta,init_theta_dot,steps_executed,violation_steps,first_violation_step,filter_interventions,filter_rejections,mean_reward
poisoned_action_only_snapshot,7,-0.08533268575865688,0.03551645262452269,1.0638908926517567,0.06254731280287434,0.017699403232685276,-0.10361370198326157,76,1,75,0,0,-0.05103852282361685
poisoned_always_freeze_snapshot,0,-0.35,0.0,0.75,0.0,-0.04,0.0,100,0,,0,0,-0.06893366016546279
poisoned_always_freeze_snapshot,1,-0.35,0.0,1.25,0.0,-0.04,0.0,100,0,,0,0,-0.06927574320609746
poisoned_always_freeze_snapshot,2,0.0,0.0,1.25,0.0,-0.04,0.0,100,0,,0,0,-0.017923832511032186
poisoned_always_freeze_snapshot,3,0.35,0.0,1.0,0.0,0.04,0.0,100,0,,0,0,-0.05233600839917987
poisoned_always_freeze_snapshot,4,-0.12037876584772683,-0.0041372392099983946,1.01570114114605,0.011505302509839804,-0.03975267499310242,-0.06416525328319732,100,0,,0,0,-0.010107888243099885
poisoned_always_freeze_snapshot,5,-0.2997915775670354,-0.020593776629380056,1.0338223781628764,0.08198897443283729,0.013546640357523385,-0.08045683954798029,100,0,,0,0,-0.03184017263207558
poisoned_always_freeze_snapshot,6,0.2422213720541373,0.011737031632798184,1.263340748560668,-0.04359644858460929,0.04765293290306666,0.03133385120836277,100,0,,0,0,-0.048350748944823344
poisoned_always_freeze_snapshot,7,-0.08533268575865688,0.03551645262452269,1.0638908926517567,0.06254731280287434,0.017699403232685276,-0.10361370198326157,100,0,,0,0,-0.003114280796142721
poisoned_commit_gate_snapshot,0,-0.35,0.0,0.75,0.0,-0.04,0.0,100,0,,0,0,-0.12113066853790895
poisoned_commit_gate_snapshot,1,-0.35,0.0,1.25,0.0,-0.04,0.0,100,0,,0,0,-0.11813815117611283
poisoned_commit_gate_snapshot,2,0.0,0.0,1.25,0.0,-0.04,0.0,100,0,,0,0,-0.03819140241743079
poisoned_commit_gate_snapshot,3,0.35,0.0,1.0,0.0,0.04,0.0,100,0,,0,0,-0.10111340720633566
poisoned_commit_gate_snapshot,4,-0.12037876584772683,-0.0041372392099983946,1.01570114114605,0.011505302509839804,-0.03975267499310242,-0.06416525328319732,100,0,,0,0,-0.029900012254716262
poisoned_commit_gate_snapshot,5,-0.2997915775670354,-0.020593776629380056,1.0338223781628764,0.08198897443283729,0.013546640357523385,-0.08045683954798029,100,0,,0,0,-0.08212599683956462
poisoned_commit_gate_snapshot,6,0.2422213720541373,0.011737031632798184,1.263340748560668,-0.04359644858460929,0.04765293290306666,0.03133385120836277,100,0,,0,0,-0.08761101704479007
poisoned_commit_gate_snapshot,7,-0.08533268575865688,0.03551645262452269,1.0638908926517567,0.06254731280287434,0.017699403232685276,-0.10361370198326157,100,0,,0,0,-0.007675291114752835
poisoned_permanent_filter_snapshot,0,-0.35,0.0,0.75,0.0,-0.04,0.0,100,0,,23,0,-0.270265724745209
poisoned_permanent_filter_snapshot,1,-0.35,0.0,1.25,0.0,-0.04,0.0,100,0,,22,0,-0.26304001393760945
poisoned_permanent_filter_snapshot,2,0.0,0.0,1.25,0.0,-0.04,0.0,100,0,,16,0,-0.22092123056969526
poisoned_permanent_filter_snapshot,3,0.35,0.0,1.0,0.0,0.04,0.0,100,0,,22,0,-0.24678432755850757
poisoned_permanent_filter_snapshot,4,-0.12037876584772683,-0.0041372392099983946,1.01570114114605,0.011505302509839804,-0.03975267499310242,-0.06416525328319732,100,0,,11,0,-0.2019553577961058
poisoned_permanent_filter_snapshot,5,-0.2997915775670354,-0.020593776629380056,1.0338223781628764,0.08198897443283729,0.013546640357523385,-0.08045683954798029,100,0,,25,0,-0.2693084768398198
poisoned_permanent_filter_snapshot,6,0.2422213720541373,0.011737031632798184,1.263340748560668,-0.04359644858460929,0.04765293290306666,0.03133385120836277,100,0,,20,0,-0.2523274735990036
poisoned_permanent_filter_snapshot,7,-0.08533268575865688,0.03551645262452269,1.0638908926517567,0.06254731280287434,0.017699403232685276,-0.10361370198326157,100,0,,10,0,-0.13723667573255954
