seed,rho,mechanism,first_violation_step,mean_reward
2210,0.04,freeze,,-0.019579359718076454
2210,0.04,freeze,,-0.05526099984633106
2210,0.04,freeze,,-0.43474650706774914
2210,0.04,freeze,,-0.2976366617016786
2210,0.04,freeze,,-0.19076514485397889
2210,0.04,freeze,,-0.04777628610288465
2210,0.04,freeze,,-0.011477908227665198
2210,0.04,freeze,,-0.04152685790859659
2210,0.04,freeze,,-0.09895583843183406
2210,0.04,freeze,,-0.3202916172703
2210,0.04,freeze,,-0.2084567977983909
2210,0.04,freeze,,-0.1225844265783481
2210,0.04,freeze,,-0.015193583816603292
2210,0.04,freeze,,-0.03005676123883619
2210,0.04,freeze,,-0.08233636665886093
2210,0.04,freeze,,-0.15722502030192512
2210,0.04,freeze,,-0.15722502030192512
2210,0.04,freeze,,-0.08233636665886093
2210,0.04,freeze,,-0.03005676123883619
2210,0.04,freeze,,-0.015193583816603292
2210,0.04,freeze,,-0.1225844265783481
2210,0.04,freeze,,-0.2084567977983909
2210,0.04,freeze,,-0.3202916172703
2210,0.04,freeze,,-0.09895583843183406
2210,0.04,freeze,,-0.04152685790859659
2210,0.04,freeze,,-0.011477908227665198
2210,0.04,freeze,,-0.04777628610288465
2210,0.04,freeze,,-0.19076514485397889
2210,0.04,freeze,,-0.2976366617016786
2210,0.04,freeze,,-0.43474650706774914
2210,0.04,freeze,,-0.05526099984633106
2210,0.04,freeze,,-0.019579359718076454
2210,0.04,freeze,,-0.029004470859259945
2210,0.04,freeze,,-0.09714507255813115
2210,0.04,freeze,,-0.27761638233049174
2210,0.04,freeze,,-0.4089667761193023
2210,0.04,freeze,,-0.580621654876358
2210,0.04,commit,,-0.5818231991918505
2210,0.04,commit,,-0.38994768068345764
2210,0.04,commit,,-0.25153153561550057
2210,0.04,commit,,-0.07733445074804719
2210,0.04,commit,,-0.03889258833840879
2210,0.04,commit,,-0.011509490242925165
2210,0.04,commit,,-0.040653340866546525
2210,0.04,commit,,-0.4180459477359277
2210,0.04,commit,,-0.2720185129174032
2210,0.04,commit,,-0.16562249587001426
2210,0.04,commit,,-0.035199580282022
2210,0.04,commit,,-0.006314798011141646
2210,0.04,commit,,-0.02977521077862892
2210,0.04,commit,,-0.07836650185554234
2210,0.04,commit,,-0.29511049782250015
2210,0.04,commit,,-0.1824335846399175
2210,0.04,commit,,-0.10011248386202931
2210,0.04,commit,,-0.010371419304794864
2210,0.04,commit,,-0.021224150948926337
2210,0.04,commit,,-0.06425808880754774
2210,0.04,commit,,-0.13226522508813288
2210,0.04,commit,,-0.13177584546265317
2210,0.04,commit,,-0.0639121717779103
2210,0.04,commit,,-0.021042940849581134
2210,0.04,commit,,-0.010551244738487042
2210,0.04,commit,,-0.10064388474413698
2210,0.04,commit,,-0.18338662479105938
2210,0.04,commit,,-0.2964570206244057
2210,0.04,commit,,-0.07803535915193195
2210,0.04,commit,,-0.029595957523384012
2210,0.04,commit,,-0.006306160498433863
2210,0.04,commit,,-0.03555693205265408
2210,0.04,commit,,-0.16636384460077494
2210,0.04,commit,,-0.2731096199930904
2210,0.04,commit,,-0.4194698119810642
2210,0.04,commit,,-0.04047580945835177
2210,0.04,commit,,-0.011491991637676197
2210,0.04,commit,,-0.007977638339762946
2210,0.04,commit,,-0.077864476331609
2210,0.04,commit,,-0.25261047417617616
2210,0.04,commit,,-0.39136046605847574
2210,0.04,commit,,-0.5834768076038623
2211,0.005,clean,5,-0.9043047169763103
2211,0.005,clean,14,-0.7257206337283267
2211,0.005,clean,,-0.6009673924714792
2211,0.005,clean,,-0.45524921479514047
2211,0.005,clean,,-0.39960526552141223
2211,0.005,clean,,-0.4110211319471842
2211,0.005,clean,,-0.44838086864903237
2211,0.005,clean,12,-0.7489892210240813
2211,0.005,clean,,-0.6158640919782835
2211,0.005,clean,,-0.5228862042244798
2211,0.005,clean,,-0.4130941935966778
2211,0.005,clean,,-0.39881465743797534
2211,0.005,clean,,-0.4303681287391493
2211,0.005,clean,,-0.4875431447436334
2211,0.005,clean,,-0.6344278600147516
2211,0.005,clean,,-0.5337243959275846
2211,0.005,clean,,-0.4623528659853005
2211,0.005,clean,,-0.3886560223464785
2211,0.005,clean,,-0.41489732658088685
2211,0.005,clean,,-0.4664190616459267
2211,0.005,clean,,-0.5434048353657388
2211,0.005,clean,,-0.479996434613239
2211,0.005,clean,,-0.4229754158087281
2211,0.005,clean,,-0.3866038584870843
2211,0.005,clean,,-0.390937916115625
2211,0.005,clean,,-0.49816809200107254
2211,0.005,clean,,-0.5903315026015509
2211,0.005,clean,,-0.7105945420490717
2211,0.005,clean,,-0.43115417696553965
2211,0.005,clean,,-0.3890330742918395
2211,0.005,clean,,-0.3727015809108644
2211,0.005,clean,,-0.41772776377244225
2211,0.005,clean,,-0.566653760678504
2211,0.005,clean,,-0.6808329671987084
2211,0.005,clean,,-0.8363313549956077
2211,0.005,clean,,-0.393928530853159
2211,0.005,clean,,-0.37174581638467463
2211,0.005,clean,,-0.3756849349928127
2211,0.005,clean,,-0.46237339419441414
2211,0.005,clean,,-0.6546510630632897
2211,0.005,clean,,-0.8021341155837771
2211,0.005,clean,,-1.005684600258371
2211,0.005,poison,5,-1.826911824096276
2211,0.005,poison,10,-1.627872198307672
2211,0.005,poison,11,-1.4885138378477194
2211,0.005,poison,,-1.3165008712756292
2211,0.005,poison,,-1.236744347073144
2211,0.005,poison,,-1.233683756411557
2211,0.005,poison,,-1.2567067476072915
2211,0.005,poison,10,-1.6616286738497943
2211,0.005,poison,10,-1.5128418988401242
2211,0.005,poison,11,-1.4065572944474651
2211,0.005,poison,,-1.279828669415114
2211,0.005,poison,,-1.236036934704626
2211,0.005,poison,,-1.2531678547733798
2211,0.005,poison,,-1.29599030661111
2211,0.005,poison,9,-1.539823970542165
2211,0.005,poison,10,-1.4279811092096535
2211,0.005,poison,11,-1.349422088315695
2211,0.005,poison,,-1.255269532350001
2211,0.005,poison,,-1.2521587312023543
2211,0.005,poison,,-1.289225865563506
2211,0.005,poison,,-1.351768637078714
2211,0.005,poison,9,-1.3926531269860363
2211,0.005,poison,10,-1.3267860019473396
2211,0.005,poison,,-1.2832909113510789
2211,0.005,poison,,-1.25721228659937
2211,0.005,poison,,-1.3348890270729428
2211,0.005,poison,,-1.4123233761972183
2211,0.005,poison,,-1.515306441736001
2211,0.005,poison,8,-1.346551585114604
2211,0.005,poison,,-1.301090806461339
2211,0.005,poison,,-1.268959701386945
2211,0.005,poison,,-1.2835020512940816
2211,0.005,poison,,-1.4025634696665568
2211,0.005,poison,,-1.5010635284458616
