learner_seed,batch,feasible_permutations,feasible_nonidentity_permutations,selected_global_permutation_index,selected_permutation,selected_moved_positions,selected_changed_values,maximum_reward_edit,multiset_max_error,reward_sum_error,reward_mean_error,reward_variance_error,reward_min_error,reward_max_error,positive_count_difference,current_target_distance,identity_next_target_distance,selected_next_target_distance,improvement_over_identity,selected_raw_gradient_w0,selected_raw_gradient_w1,selected_applied_gradient_w0,selected_applied_gradient_w1,selected_next_gain,selected_next_bias,selection_latency_ms,exact_first_argmin
2072,2,771,770,16104,3;1;4;2;0;5;6;7,4,4,0.23528215284174714,0.0,0.0,0.0,0.0,0.0,0.0,0,4.053100144759973,3.834592706210698,3.8320991657205976,0.002493540490100532,-0.25707832176589757,-0.3273858995354773,-0.25707832176589757,-0.3273858995354773,-3.3145087311951724,-1.288024354885602,6.900970824062824,True
2072,3,771,770,741,0;2;1;3;7;5;6;4,4,4,0.32363120849177096,0.0,8.881784197001252e-16,1.1102230246251565e-16,6.938893903907228e-18,0.0,0.0,0,3.8320991657205976,3.8958388604661174,3.888262455835629,0.007576404630488476,-0.019235391597396935,0.03235360952653635,-0.019235391597396935,0.03235360952653635,-3.410685689182157,-1.2556707453590656,6.913302466273308,True
2072,4,771,770,1581,0;3;2;1;7;5;6;4,4,4,0.04784826497921013,0.0,0.0,0.0,0.0,0.0,0.0,0,3.888262455835629,3.8764721379456843,3.869324258265653,0.007147879680031277,0.014122661487668314,-0.0005177032641274438,0.014122661487668314,-0.0005177032641274438,-3.340072381743816,-1.2561884486231931,6.885843351483345,True
2072,5,771,770,592,0;1;6;7;4;5;2;3,4,4,0.032320108521609325,0.0,2.220446049250313e-16,2.7755575615628914e-17,0.0,0.0,0.0,0,3.869324258265653,4.111347804088668,4.100083361644266,0.011264442444401723,-0.037282147345696105,0.18759390880287813,-0.037282147345696105,0.18759390880287813,-3.5264831184722967,-1.068594539820315,6.869861856102943,True
2072,6,771,770,36145,7;1;2;3;0;4;6;5,4,4,0.17128655457185316,0.0,0.0,0.0,0.0,0.0,0.0,0,4.100083361644266,3.356037978372013,3.293570512653357,0.06246746571865591,0.11573586500659412,-0.6902501804910826,0.11573586500659412,-0.6902501804910826,-2.9478037934393257,-1.7588447203113975,6.900939159095287,True
2072,7,771,770,32,0;1;2;4;5;6;3;7,4,4,0.04108483058612794,0.0,0.0,0.0,0.0,0.0,0.0,0,3.293570512653357,2.9978553150147427,2.9740287419936875,0.023826573021055175,0.06417119939292314,-0.2789024138783688,0.06417119939292314,-0.2789024138783688,-2.62694779647471,-2.0377471341897664,10.926139540970325,True
2072,8,771,770,3420,0;5;6;3;4;1;2;7,4,4,0.045393428110998044,0.0,0.0,0.0,0.0,0.0,0.0,0,2.9740287419936875,2.9922849868772596,2.8575493934250025,0.13473559345225716,0.010152709222722184,-0.11270027369661924,0.010152709222722184,-0.11270027369661924,-2.576184250361099,-2.1504474078863858,7.827818393707275,True
2072,9,771,770,635,0;1;7;3;4;6;5;2,4,4,0.296417320550171,0.0,0.0,0.0,0.0,0.0,0.0,0,2.8575493934250025,2.175846206226542,1.9714063049729502,0.2044399012535918,0.019213384304905653,-0.881654904081408,0.019213384304905653,-0.881654904081408,-2.4801173288365708,-3.032102311967794,6.97784498333931,True
2072,10,771,770,30986,6;1;0;3;2;5;4;7,4,4,0.9351938945945857,0.0,0.0,0.0,0.0,0.0,0.0,0,1.9714063049729502,1.8327206637387492,1.4499692777071966,0.38275138603155257,-0.040067609178787746,-0.5532073985552287,-0.040067609178787746,-0.5532073985552287,-2.680455374730509,-3.5853097105230227,6.8788081407547,True
2072,11,771,770,7350,1;4;2;3;5;0;6;7,4,4,0.12236523232902002,0.0,0.0,0.0,0.0,0.0,0.0,0,1.4499692777071966,1.0978705500818846,1.0735329770722601,0.02433757300962447,-0.017908145923745455,-0.4214820063330756,-0.017908145923745455,-0.4214820063330756,-2.7699961043492363,-4.006791716856099,6.894487887620926,True
