learner_seed,evaluation_seed,mode,selected_index,admitted_index,common_vulnerable_initially_accepted,init_x,init_x_dot,init_theta,init_theta_dot,physical_first_violation_step,forward_switch_step,baseline_control_steps,mean_reward
2070,9070,compromised_producer_valid_raw_release,18,24,True,-0.21362615749876235,-0.1408365512353077,0.018323431468890344,-0.2617703779046827,9,,0,-1.4131937290962937
2070,9070,compromised_producer_valid_resident,18,24,True,-0.21362615749876235,-0.1408365512353077,0.018323431468890344,-0.2617703779046827,,5,46,-0.32878955417844996
2070,9070,trusted_reference_repair_raw_release,18,24,True,-0.21362615749876235,-0.1408365512353077,0.018323431468890344,-0.2617703779046827,,,0,-0.049938524081877475
2070,9070,origin_bound_fail_closed_raw_release,18,24,True,-0.21362615749876235,-0.1408365512353077,0.018323431468890344,-0.2617703779046827,,,0,-0.05803145688559634
2070,9070,clean_reference_raw_release,19,25,True,-0.05813989004688819,-0.2637574316359811,0.10019947391012865,-0.7408902237060413,,,0,-0.08223953108941197
2070,9070,unsigned_postproducer_mutation_raw_release,19,25,True,-0.05813989004688819,-0.2637574316359811,0.10019947391012865,-0.7408902237060413,6,,0,-1.536159725560552
2070,9070,unsigned_postproducer_mutation_resident,19,25,True,-0.05813989004688819,-0.2637574316359811,0.10019947391012865,-0.7408902237060413,,2,85,-0.16152208810803595
2070,9070,compromised_producer_valid_raw_release,19,25,True,-0.05813989004688819,-0.2637574316359811,0.10019947391012865,-0.7408902237060413,6,,0,-1.536159725560552
2070,9070,compromised_producer_valid_resident,19,25,True,-0.05813989004688819,-0.2637574316359811,0.10019947391012865,-0.7408902237060413,,2,85,-0.16152208810803595
2070,9070,trusted_reference_repair_raw_release,19,25,True,-0.05813989004688819,-0.2637574316359811,0.10019947391012865,-0.7408902237060413,,,0,-0.08223953108941197
2070,9070,origin_bound_fail_closed_raw_release,19,25,True,-0.05813989004688819,-0.2637574316359811,0.10019947391012865,-0.7408902237060413,,,0,-0.09721874588965133
2070,9070,clean_reference_raw_release,20,26,True,-0.0850557236545722,0.3240165655341539,0.054862263451920135,-0.11279826812606308,,,0,-0.032911702073079405
2070,9070,unsigned_postproducer_mutation_raw_release,20,26,True,-0.0850557236545722,0.3240165655341539,0.054862263451920135,-0.11279826812606308,,,0,-1.279764820572711
2070,9070,unsigned_postproducer_mutation_resident,20,26,True,-0.0850557236545722,0.3240165655341539,0.054862263451920135,-0.11279826812606308,,,0,-1.279764820572711
2070,9070,compromised_producer_valid_raw_release,20,26,True,-0.0850557236545722,0.3240165655341539,0.054862263451920135,-0.11279826812606308,,,0,-1.279764820572711
2070,9070,compromised_producer_valid_resident,20,26,True,-0.0850557236545722,0.3240165655341539,0.054862263451920135,-0.11279826812606308,,,0,-1.279764820572711
2070,9070,trusted_reference_repair_raw_release,20,26,True,-0.0850557236545722,0.3240165655341539,0.054862263451920135,-0.11279826812606308,,,0,-0.032911702073079405
2070,9070,origin_bound_fail_closed_raw_release,20,26,True,-0.0850557236545722,0.3240165655341539,0.054862263451920135,-0.11279826812606308,,,0,-0.038787064936126395
2070,9070,clean_reference_raw_release,21,28,True,0.03448545424653121,-0.30618817214393845,-0.06069600221380399,0.28771956812304733,,,0,-0.01792500746496245
2070,9070,unsigned_postproducer_mutation_raw_release,21,28,True,0.03448545424653121,-0.30618817214393845,-0.06069600221380399,0.28771956812304733,,,0,-1.3289695115183933
2070,9070,unsigned_postproducer_mutation_resident,21,28,True,0.03448545424653121,-0.30618817214393845,-0.06069600221380399,0.28771956812304733,,,0,-1.3289695115183933
2070,9070,compromised_producer_valid_raw_release,21,28,True,0.03448545424653121,-0.30618817214393845,-0.06069600221380399,0.28771956812304733,,,0,-1.3289695115183933
2070,9070,compromised_producer_valid_resident,21,28,True,0.03448545424653121,-0.30618817214393845,-0.06069600221380399,0.28771956812304733,,,0,-1.3289695115183933
2070,9070,trusted_reference_repair_raw_release,21,28,True,0.03448545424653121,-0.30618817214393845,-0.06069600221380399,0.28771956812304733,,,0,-0.01792500746496245
2070,9070,origin_bound_fail_closed_raw_release,21,28,True,0.03448545424653121,-0.30618817214393845,-0.06069600221380399,0.28771956812304733,,,0,-0.019785769821491415
2070,9070,clean_reference_raw_release,22,29,True,-0.18714092810158406,0.2651161466262262,0.12888266269552265,-0.6482353745840714,,,0,-0.013546408174083343
