benchmark,task,controller,mechanism,kernel_backend,attack_kernel_backend,steps,budget,plausible_radius,future_grid_points,action_grid_size,mean_reward,constraint_violation_steps,constraint_violation_step_rate,unsafe_certified_steps,unsafe_certified_rate,stale_certified_policy_steps,stale_certified_policy_rate,uncertified_learning_steps,uncertified_learning_rate,learn_updates,learn_update_rate,interventions,intervention_rate,empty_kernel_steps,empty_kernel_rate,mean_kernel_width,mean_action_correction,mean_param_projection_norm,mean_attack_linf,mean_attacker_score,final_theta_gain,final_bias,max_param_violation,sweep_label,seed
safe_control_gym,cartpole,lqr_plus_linear_residual,plausible_action_filter_update_ungated,casadi,euler,4,0.04,0.04,9,41,-6.169081106157014,0,0.0,0,0.0,0,0.0,4,1.0,4,1.0,0,0.0,4,1.0,0.0,0.0,0.0,0.03998466593673291,4.739332633113775,12.0,-2.8,1.9306764436073842,freeze_frontier_casadi,2027
safe_control_gym,cartpole,lqr_plus_linear_residual,always_freeze,casadi,euler,4,0.04,0.04,9,41,-4.857652861323608,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4,1.0,4,1.0,0.0,0.0,0.0,0.03998466593673291,4.3295413794135635,0.0,0.0,0.0,freeze_frontier_casadi,2027
safe_control_gym,cartpole,lqr_plus_linear_residual,lifecycle_gate_project,casadi,euler,4,0.04,0.04,9,41,-5.7052760227395325,0,0.0,0,0.0,0,0.0,0,0.0,3,0.75,2,0.5,4,1.0,0.0,0.0,0.1853121054601651,0.03998466593673291,4.40590754687369,8.882889790388864,-1.3680611899303976,1.1102230246251565e-16,freeze_frontier_casadi,2027
safe_control_gym,cartpole,lqr_plus_linear_residual,plausible_action_filter_update_ungated,casadi,euler,4,0.06,0.06,9,41,-6.507687214714091,0,0.0,0,0.0,0,0.0,4,1.0,4,1.0,0,0.0,4,1.0,0.0,0.0,0.0,0.059976838774478736,4.962685908827851,12.0,-2.8,1.1006052611268782,freeze_frontier_casadi,2027
safe_control_gym,cartpole,lqr_plus_linear_residual,always_freeze,casadi,euler,4,0.06,0.06,9,41,-5.221996394185139,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4,1.0,4,1.0,0.0,0.0,0.0,0.059976838774478736,4.5673870217373045,0.0,0.0,0.0,freeze_frontier_casadi,2027
safe_control_gym,cartpole,lqr_plus_linear_residual,lifecycle_gate_project,casadi,euler,4,0.06,0.06,9,41,-6.149572638051536,0,0.0,0,0.0,0,0.0,0,0.0,3,0.75,1,0.25,4,1.0,0.0,0.0,0.0,0.059976838774478736,4.7547931563020285,9.0,-2.0999999999999996,0.0,freeze_frontier_casadi,2027
safe_control_gym,cartpole,lqr_plus_linear_residual,attacked_lqr_update_ungated,cbf_sampled,euler,4,0.015,0.015,9,41,-5.612359863287015,0,0.0,0,0.0,0,0.0,4,1.0,4,1.0,0,0.0,3,0.75,3.75,0.0,0.0,0.011244449889550607,12.592495207298597,12.0,-2.8,12.518511362709475,cbf_sampled_reference,2026
safe_control_gym,cartpole,lqr_plus_linear_residual,plausible_action_filter_update_ungated,cbf_sampled,euler,4,0.015,0.015,9,41,-5.390982394533143,0,0.0,0,0.0,1,0.25,4,1.0,4,1.0,1,0.25,3,0.75,3.75,0.31445546558476645,0.0,0.011244449889550607,12.592495207298597,12.0,-2.8,12.518511362709475,cbf_sampled_reference,2026
safe_control_gym,cartpole,lqr_plus_linear_residual,always_freeze,cbf_sampled,euler,4,0.015,0.015,9,41,-4.393397707392671,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4,1.0,3,0.75,3.875,0.025083680039732048,0.0,0.014994449889550607,10.834336397421133,0.0,0.0,10.008511362709475,cbf_sampled_reference,2026
safe_control_gym,cartpole,lqr_plus_linear_residual,lifecycle_gate_project,cbf_sampled,euler,4,0.015,0.015,9,41,-3.9431533524740137,0,0.0,0,0.0,0,0.0,0,0.0,2,0.5,4,1.0,3,0.75,3.625,0.055600369435672814,0.8586855418330365,0.014994449889550607,10.837201643895396,5.375175062501853,1.9774320945845771,10.008511362709475,cbf_sampled_reference,2026
safe_control_gym,cartpole,lqr_plus_linear_residual,attacked_lqr_update_ungated,cbf_sampled,euler,4,0.015,0.015,9,41,-5.612359863287015,0,0.0,0,0.0,0,0.0,4,1.0,4,1.0,0,0.0,3,0.75,3.75,0.0,0.0,0.011050440722800708,12.71913598145874,12.0,-2.8,12.456173510962332,cbf_sampled_reference,2027
safe_control_gym,cartpole,lqr_plus_linear_residual,plausible_action_filter_update_ungated,cbf_sampled,euler,4,0.015,0.015,9,41,-5.390982394533143,0,0.0,0,0.0,1,0.25,4,1.0,4,1.0,1,0.25,3,0.75,3.75,0.31445546558476645,0.0,0.011050440722800708,12.71913598145874,12.0,-2.8,12.456173510962332,cbf_sampled_reference,2027
safe_control_gym,cartpole,lqr_plus_linear_residual,always_freeze,cbf_sampled,euler,4,0.015,0.015,9,41,-4.399868239477723,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4,1.0,3,0.75,3.875,0.02963176198384554,0.0,0.014800440722800708,10.946222826750237,0.0,0.0,9.946173510962332,cbf_sampled_reference,2027
safe_control_gym,cartpole,lqr_plus_linear_residual,lifecycle_gate_project,cbf_sampled,euler,4,0.015,0.015,9,41,-4.003300094165358,0,0.0,0,0.0,0,0.0,0,0.0,2,0.5,4,1.0,3,0.75,3.75,0.06173660566805461,0.8655061439291771,0.014800440722800708,10.959745078707174,5.3702120322995235,2.0042592848674374,9.946173510962332,cbf_sampled_reference,2027
