duration,learner_seed,evaluation_seed,condition,total_batches,states_accepted,raw_release_violations,resident_violations,resident_switches,final_effective_gain,final_effective_bias,final_learner_w0,final_learner_w1,mean_true_reward,mean_logged_reward,max_reward_poison,adaptation_constraint_violations,known_sign_batches_flagged,scalar_envelope_batches_flagged,batch_mean_envelope_batches_flagged,trusted_recomputation_batches_flagged
12,2403,9403,unconstrained,12,24,7,0,7,-3.6645134672990243,-5.0,-0.7329026934598049,-5.0,-0.7972889593952619,-0.7052588515917978,1.9999999997372342,0,12,12,1,12
12,2403,9403,constrained,12,24,4,0,4,-0.822588768526534,-4.644551869666471,-0.1645177537053068,-4.644551869666471,-0.6332131459541087,-0.9573953161461976,1.992522297461452,0,0,0,0,12
12,2404,9404,clean,12,24,0,0,0,-0.8330481521781576,0.6358278039919524,-0.16660963043563154,0.6358278039919524,-0.5255748270533757,-0.5255748270533757,0.0,0,0,0,1,0
12,2404,9404,unconstrained,12,24,11,0,11,-7.741925326730574,-4.2715322183360165,-1.5483850653461149,-4.2715322183360165,-0.6090893560901681,-0.6217114210227351,2.0,0,12,12,0,12
12,2404,9404,constrained,12,24,1,0,1,-2.9580778113373376,-1.648351305791979,-0.5916155622674676,-1.648351305791979,-0.5087184475130393,-1.166377155021223,2.0,0,0,0,0,12
24,2400,9400,clean,24,24,0,0,0,4.999597533947628,-0.20934181404832608,0.9999195067895257,-0.20934181404832608,-0.5442033817965858,-0.5442033817965858,0.0,0,0,0,1,0
24,2400,9400,unconstrained,24,24,3,0,3,8.157960496771569,-3.2655193378506313,1.6315920993543138,-3.2655193378506313,-1.0632093086749894,-1.0667096265622344,1.9999999138316809,12,18,20,2,24
24,2400,9400,constrained,24,24,3,0,3,8.530860510006818,-3.225073961422264,1.7061721020013636,-3.225073961422264,-0.9017799726015222,-1.2281669504177528,1.9999580333495843,12,0,0,2,23
24,2401,9401,clean,24,24,1,0,1,-4.965231727330336,2.3685309950048152,-0.9930463454660672,2.3685309950048152,-0.5071821538349548,-0.5071821538349548,0.0,0,0,0,1,0
24,2401,9401,unconstrained,24,24,3,0,3,3.349461615625376,-4.418528370466473,0.6698923231250752,-4.418528370466473,-1.1188752859586812,-1.0394299759770123,1.999999930202071,13,15,16,1,24
24,2401,9401,constrained,24,24,3,0,3,-0.6581033465075493,-3.3024059708183438,-0.13162066930150987,-3.3024059708183438,-0.7743500622313212,-1.1642915168782622,1.9999986576660147,0,0,0,0,24
24,2402,9402,clean,24,24,1,0,1,-8.944688791023644,-1.8670381194741448,-1.788937758204729,-1.8670381194741448,-0.7562086754640388,-0.7562086754640388,0.0,0,0,0,0,0
24,2402,9402,unconstrained,24,24,2,0,2,-4.065923257965698,-4.212699539443185,-0.8131846515931397,-4.212699539443185,-1.1240587536070623,-1.1197660835824428,1.9999999999749176,14,20,21,0,24
24,2402,9402,constrained,24,24,2,0,2,-3.3444726639296443,-4.292017168368797,-0.6688945327859289,-4.292017168368797,-1.0487539623075062,-1.2550680292714276,1.9999999999749176,14,0,0,0,24
24,2403,9403,clean,24,24,4,0,4,-1.7362697039828383,-4.042132155645949,-0.3472539407965677,-4.042132155645949,-0.7956285131736673,-0.7956285131736673,0.0,12,0,1,1,0
24,2403,9403,unconstrained,24,24,4,0,4,0.1212797779197533,-4.4561582859212105,0.02425595558395066,-4.4561582859212105,-1.275301855521105,-1.2444842463470849,1.9999999997372342,15,18,20,2,24
24,2403,9403,constrained,24,24,4,0,4,1.5245042333671222,-4.378135323814644,0.30490084667342443,-4.378135323814644,-1.0588228489512266,-1.2631824349136844,1.9999966880952382,14,0,0,1,24
24,2404,9404,clean,24,24,0,0,0,-2.0368667082836076,0.18341514189299624,-0.40737334165672157,0.18341514189299624,-0.5090549929599276,-0.5090549929599276,0.0,0,0,0,1,0
