learner_seed,evaluation_seed,mechanism,snapshot_gain,snapshot_bias,candidate_states,baseline_admitted_states,selected_index,admitted_index,init_x,init_x_dot,init_theta,init_theta_dot,initially_accepted,reverse_switch_horizon,reverse_switch_max_margin,casadi_full_first_violation_step,physical_steps,physical_first_violation_step,one_step_interventions,empty_kernel_fallbacks,forward_switch_step,baseline_control_steps,mean_reward
2040,8040,resident_predictive_simplex,-2.3625524160241205,-5.0,32,32,15,20,-0.23093425613839147,0.030027249901855457,-0.021138772415938895,0.22477111282149131,True,5,-0.126476541904966,,120,,0,0,,0,-1.2453802375337404
2040,8040,resident_predictive_simplex,-2.3625524160241205,-5.0,32,32,16,21,-0.1645383759845203,-0.20559769485831458,0.12327015936881322,0.49914538325954205,True,5,-0.03985495942047085,,120,,0,0,,0,-1.3625976186577586
2040,8040,resident_predictive_simplex,-2.3625524160241205,-5.0,32,32,17,22,-0.20505103245656936,0.38748789816153706,0.0185085421312656,0.6437552068994985,True,5,-0.1369207206377122,,120,,0,0,,0,-1.4023706344472957
2040,8040,resident_predictive_simplex,-2.3625524160241205,-5.0,32,32,18,24,-0.19689125118443074,0.46622095142479714,-0.10852431168306173,0.26503459395073103,True,5,-0.10619040042018951,,120,,0,0,,0,-1.2357422161473923
2040,8040,resident_predictive_simplex,-2.3625524160241205,-5.0,32,32,19,25,0.2469401306395651,-0.34293840167860556,0.1326410878319266,0.4029647248374668,True,5,-0.03940917677864847,,120,,0,0,,0,-1.3851763382092979
2040,8040,resident_predictive_simplex,-2.3625524160241205,-5.0,32,32,20,26,-0.004705409544799144,-0.04440972255975506,0.05057313949190556,-0.8140128064501244,True,5,-0.09907617633227941,9,62,,0,0,5,57,-0.3156822608762278
2040,8040,resident_predictive_simplex,-2.3625524160241205,-5.0,32,32,21,28,0.166583351511281,-0.13810219718489425,-0.1377404598872681,-0.9551096087895676,True,5,-0.01428159698935394,5,118,,0,0,1,117,-0.5304473960680256
2040,8040,resident_predictive_simplex,-2.3625524160241205,-5.0,32,32,22,29,0.2040662203031382,-0.11703375786946524,-0.1471627862293857,-0.1480922088289569,True,5,-0.05662401258492589,13,79,,0,0,9,70,-0.36891363480465655
2040,8040,resident_predictive_simplex,-2.3625524160241205,-5.0,32,32,23,31,-0.11825530885766311,-0.48133494813413347,0.0853838520824711,-0.18136806315309206,True,5,-0.037621913337575,7,65,,0,0,3,62,-0.1672449518328783
2041,8041,permanent_release,-1.8736957068662277,-4.550598233732915,32,32,0,0,0.15930768207782958,0.4525080040860663,-0.0044359554462081174,-0.8323987124659162,True,5,-0.1722364464859375,,120,,0,0,,0,-1.0777391646699206
2041,8041,permanent_release,-1.8736957068662277,-4.550598233732915,32,32,1,1,0.15390637319538047,0.02656741178278832,0.031127050472277068,0.5604402529907935,True,5,-0.12397358652148059,,120,,0,0,,0,-1.1521654662984482
2041,8041,permanent_release,-1.8736957068662277,-4.550598233732915,32,32,2,2,-0.04461004241398092,0.08567019816291921,0.06360189645536554,0.7165075122951043,True,5,-0.09924008726295218,,120,,0,0,,0,-1.2295395383250995
2041,8041,permanent_release,-1.8736957068662277,-4.550598233732915,32,32,3,4,0.18654858165936816,-0.38286028697226615,0.037127073844398756,0.5693654933228391,True,5,-0.09093130333687573,,120,,0,0,,0,-1.0864017139200217
2041,8041,permanent_release,-1.8736957068662277,-4.550598233732915,32,32,4,5,0.24472957421006586,-0.06471613113310348,0.03077263752254314,-0.6620764994426322,True,5,-0.11752809831150329,,120,,0,0,,0,-1.0957414755628379
2041,8041,permanent_release,-1.8736957068662277,-4.550598233732915,32,32,5,6,0.17709656416606995,-0.35211818330902434,-0.05142741186961296,0.3080351621531878,True,5,-0.1350312531627361,,120,,0,0,,0,-1.0402683111531972
2041,8041,permanent_release,-1.8736957068662277,-4.550598233732915,32,32,6,8,-0.19654659933328433,-0.15842646798505866,-0.05546984179563608,0.05374334210003129,True,5,-0.13645725946675202,,120,,0,0,,0,-1.0723584186837596
2041,8041,permanent_release,-1.8736957068662277,-4.550598233732915,32,32,7,9,0.11264932424260365,0.07210518439019309,0.1491066707266727,0.8675117795129164,True,5,-0.01860360270141559,,120,,0,0,,0,-1.5539190922257968
2041,8041,permanent_release,-1.8736957068662277,-4.550598233732915,32,32,8,10,0.1196583095668104,0.19407812959781812,-0.07964903814260182,0.8555926174619981,True,5,-0.15020066166499915,,120,,0,0,,0,-1.138678028893685
2041,8041,permanent_release,-1.8736957068662277,-4.550598233732915,32,32,9,12,-0.13853279135129914,0.3453470384671088,-0.01595993652958519,0.37474085297807047,True,5,-0.1593449261776996,,120,,0,0,,0,-1.0777992726652068
2041,8041,permanent_release,-1.8736957068662277,-4.550598233732915,32,32,10,13,0.06138384808898012,-0.17081539166823045,-0.021512057349794417,-0.5563757849664335,True,5,-0.1353136574056052,11,120,11,0,0,,0,-1.150754692063513
2041,8041,permanent_release,-1.8736957068662277,-4.550598233732915,32,32,11,14,0.09436178830594671,0.21460600805745667,0.07911019053211174,0.10509504790839785,True,5,-0.11069480056470062,,120,,0,0,,0,-1.118550393961366
2041,8041,permanent_release,-1.8736957068662277,-4.550598233732915,32,32,12,16,0.24525682714323466,-0.31610968945587314,0.007069634732565083,-0.9724005595606855,True,5,-0.13997927932909,9,120,9,0,0,,0,-1.2791947939851906
2041,8041,permanent_release,-1.8736957068662277,-4.550598233732915,32,32,13,17,0.12072935703117776,0.44476706877592365,-0.04493478740494289,0.49290040437032157,True,5,-0.17247747832080126,,120,,0,0,,0,-1.1449162056316662
2041,8041,permanent_release,-1.8736957068662277,-4.550598233732915,32,32,14,18,-0.05479970535204809,-0.3593846637284981,0.12344378714576579,0.07317405542608935,True,5,-0.03951336418719811,,120,,0,0,,0,-1.0601808691819559
2041,8041,permanent_release,-1.8736957068662277,-4.550598233732915,32,32,15,20,0.20137355221719772,0.18597971503125799,-0.12682833202565505,-0.422558706586347,True,5,-0.0662193002764771,,120,,0,0,,0,-1.123210225591717
2041,8041,permanent_release,-1.8736957068662277,-4.550598233732915,32,32,16,21,-0.003486998307197231,-0.08389375283559297,0.09070396054772084,-0.13656236998895577,True,5,-0.07784064877030754,,120,,0,0,,0,-1.0427039735687573
2041,8041,permanent_release,-1.8736957068662277,-4.550598233732915,32,32,17,22,0.24720658056106198,0.2423497747502189,-0.11483964752885448,0.0017275060071384463,True,5,-0.09244135366255293,,120,,0,0,,0,-1.0451039380729847
2041,8041,permanent_release,-1.8736957068662277,-4.550598233732915,32,32,18,24,-0.052859084158682956,0.32013785604666967,0.07931814925150879,-0.03597264664258604,True,5,-0.11280481936828346,,120,,0,0,,0,-1.0861750802547643
2041,8041,permanent_release,-1.8736957068662277,-4.550598233732915,32,32,19,25,-0.1922745431922629,-0.309449590291203,-0.04282676110443123,-0.6355801237911007,True,5,-0.14281800755433358,8,120,8,0,0,,0,-1.3190059685222166
2041,8041,permanent_release,-1.8736957068662277,-4.550598233732915,32,32,20,26,0.11122631219012119,-0.37742125071938426,0.1418365850087233,0.9381646835308242,True,5,-0.018282581400018122,,120,,0,0,,0,-1.357563934124918
2041,8041,permanent_release,-1.8736957068662277,-4.550598233732915,32,32,21,28,-0.1887095086517681,0.01197791267397541,0.025815273200171907,-0.5535573038827937,True,5,-0.1083535385690975,,120,,0,0,,0,-1.1038513800358307
2041,8041,permanent_release,-1.8736957068662277,-4.550598233732915,32,32,22,29,0.24512521789996666,-0.130609809511952,-0.005149220438541741,0.6559693998181304,True,5,-0.1334768928873935,,120,,0,0,,0,-1.1176633739703585
2041,8041,permanent_release,-1.8736957068662277,-4.550598233732915,32,32,23,31,0.1844111172622958,-0.40932958053507773,-0.14758346332567238,-0.6988427125843386,False,5,0.11420144152870693,4,0,,0,0,,0,0.0
2041,8041,resident_one_step_kernel,-1.8736957068662277,-4.550598233732915,32,32,0,0,0.15930768207782958,0.4525080040860663,-0.0044359554462081174,-0.8323987124659162,True,5,-0.1722364464859375,,120,,0,0,,0,-1.0777391646699206
2041,8041,resident_one_step_kernel,-1.8736957068662277,-4.550598233732915,32,32,1,1,0.15390637319538047,0.02656741178278832,0.031127050472277068,0.5604402529907935,True,5,-0.12397358652148059,,120,,0,0,,0,-1.1521654662984482
2041,8041,resident_one_step_kernel,-1.8736957068662277,-4.550598233732915,32,32,2,2,-0.04461004241398092,0.08567019816291921,0.06360189645536554,0.7165075122951043,True,5,-0.09924008726295218,,120,,0,0,,0,-1.2295395383250995
