learner_seed,batch,step,source_reward_step,true_reward,logged_reward,reward_delta,feature_gain_coordinate,feature_bias_coordinate,exploration_noise,done
2070,3,7,1,-0.20437300679297027,-0.37403160490564025,-0.16965859811266998,0.3936580042210036,1.0,-0.13451848069405817,0.0
2070,4,0,0,-0.3417668485826695,-0.3417668485826695,0.0,0.3378520375791808,1.0,1.1435530607134445,0.0
2070,4,1,2,-0.23375592651853838,-0.19579448842630004,0.03796143809223834,0.28221444762838377,1.0,-0.47643731882068574,0.0
2070,4,2,1,-0.19579448842630004,-0.23375592651853838,-0.03796143809223834,0.23177799929681261,1.0,0.38971418329172525,0.0
2070,4,3,3,-0.17269143743436224,-0.17269143743436224,0.0,0.19053151344664598,1.0,-0.4070189495953466,0.0
2070,4,4,4,-0.15108186065865095,-0.15108186065865095,0.0,0.1548770313126518,1.0,-0.3506761912470908,0.0
2070,4,5,6,-0.29014684614298925,-0.19482563403448805,0.0953212121085012,0.12662252439834473,1.0,1.4292836426905138,0.0
2070,4,6,5,-0.19482563403448805,-0.29014684614298925,-0.0953212121085012,0.09319019671475381,1.0,0.9720159223012557,0.0
2070,4,7,7,-0.19877319075532435,-0.19877319075532435,0.0,0.05117138522145856,1.0,0.2218344155367798,0.0
2070,5,0,0,-0.14447892554198646,-0.14447892554198646,0.0,0.014228745880447341,1.0,0.16980440717194056,0.0
2070,5,1,7,-0.1590497720150673,-0.12488143533432723,0.034168336680740055,-0.013003244163975344,1.0,-0.4119401337994821,0.0
2070,5,2,2,-0.12593169437759438,-0.12593169437759438,0.0,-0.031065575260542933,1.0,0.7712849976416742,0.0
2070,5,3,4,-0.13192027178611973,-0.2834767725131064,-0.15155650072698665,-0.046570487429934075,1.0,0.8074576563621658,0.0
2070,5,4,3,-0.2834767725131064,-0.13192027178611973,0.15155650072698665,-0.06848257037629354,1.0,-0.9770326212475947,0.0
2070,5,5,5,-0.08767182879365222,-0.08767182879365222,0.0,-0.08233409823446874,1.0,-0.11813646130102706,0.0
2070,5,6,6,-0.20509800945745016,-0.20509800945745016,0.0,-0.08320102613698717,1.0,1.4106121118601922,0.0
2070,5,7,1,-0.12488143533432723,-0.1590497720150673,-0.034168336680740055,-0.09169429635932934,1.0,-0.30969339433699955,0.0
2070,6,0,1,-0.13863021345048626,-0.3670525869776721,-0.22842237352718586,-0.10443711133010208,1.0,1.4214142081347416,0.0
2070,6,1,5,-0.3670525869776721,-0.2483264371436248,0.11872614983404733,-0.11948122457334923,1.0,-1.1901883139628313,0.0
2070,6,2,2,-0.09715760365474109,-0.09715760365474109,0.0,-0.1276085966451088,1.0,-0.6244821223736826,0.0
2070,6,3,3,-0.15788986497879787,-0.15788986497879787,0.0,-0.11803731669990708,1.0,-1.5813383898880842,0.0
2070,6,4,4,-0.054491901942569976,-0.054491901942569976,0.0,-0.0960917895610005,1.0,-0.2250057717434718,0.0
2070,6,5,7,-0.2483264371436248,-0.09462888695120564,0.15369755019241915,-0.07037570256371949,1.0,0.9052087642043098,0.0
2070,6,6,6,-0.10833868113384548,-0.10833868113384548,0.0,-0.06068122520070926,1.0,1.0454424701844722,0.0
2070,6,7,0,-0.09462888695120564,-0.13863021345048626,-0.044001326499280624,-0.0693273369938525,1.0,-0.2564717862149755,0.0
2070,7,0,0,-0.051210547217197824,-0.051210547217197824,0.0,-0.07880026726412533,1.0,-0.13192790469620774,0.0
2070,7,1,7,-0.08167790815695122,-0.03422372610000458,0.047454182056946646,-0.08091400260356979,1.0,-0.6777711085410039,0.0
2070,7,2,2,-0.0861994838265985,-0.0861994838265985,0.0,-0.07557517808363406,1.0,0.9035851993497703,0.0
2070,7,3,5,-0.052487964381903535,-0.13589074316357178,-0.08340277878166824,-0.07180847514949937,1.0,0.7747423077347314,0.0
2070,7,4,4,-0.07972653459159426,-0.07972653459159426,0.0,-0.07794409682234747,1.0,-0.5885936165025646,0.0
2070,7,5,3,-0.13589074316357178,-0.052487964381903535,0.08340277878166824,-0.08226689704809076,1.0,-1.1780105316217353,0.0
2070,7,6,6,-0.07477779144040969,-0.07477779144040969,0.0,-0.07330973789405949,1.0,0.2334665261267601,0.0
2070,7,7,1,-0.03422372610000458,-0.08167790815695122,-0.047454182056946646,-0.06301006886709624,1.0,-0.400887507063385,0.0
