poison_steps,mechanism,evaluation_seed,final_gain,final_bias,init_x,init_x_dot,init_theta,init_theta_dot,first_violation_step,violation_steps,mean_reward
0,action_only,2030,0.0,0.0,-0.061741698435153536,-0.21738020529300228,-0.14814469312178866,0.09411456277199148,,0,-0.13046421917922865
0,action_only,2030,0.0,0.0,0.10798219580122403,-0.013327890407098142,0.11522885326154489,-0.4347669778331049,,0,-0.009963656023544471
0,action_only,2030,0.0,0.0,0.02964323930949897,-0.33728262282208876,0.020995901843503167,0.03545891479456542,,0,-0.015796377140909895
0,action_only,2030,0.0,0.0,-0.19127657643298324,-0.006366838994584345,-0.12025766177631131,0.371870969733503,,0,-0.024746464230316904
0,action_only,2030,0.0,0.0,0.06228276560775298,-0.11416833641517976,-0.10040857881207688,0.3364488398021621,,0,-0.014941690220460251
0,action_only,2030,0.0,0.0,-0.004513231278477359,0.19063809501508655,-0.12717927829649459,0.16192327587643685,,0,-0.024696960288269763
0,action_only,2030,0.0,0.0,0.08751556538446681,-0.05232433589254193,-0.05577903904144785,0.3963749067973721,,0,-0.013907894600495787
0,action_only,2030,0.0,0.0,-0.12005219468295641,0.2312462372416506,-0.14256012243204116,-0.1574196787062363,,0,-0.09786954729266875
0,action_only,2030,0.0,0.0,0.03406304572905289,-0.10366774974351156,0.0922263507368278,0.619401797543425,,0,-0.19926677922575092
0,action_only,2030,0.0,0.0,-0.22576549038460858,0.4785897534640512,0.024075450510955165,0.3924311236153992,,0,-0.1560253124301758
0,action_only,2030,0.0,0.0,0.1540769353616137,0.2737429839829577,0.10063374135746586,0.513495678515373,,0,-0.33272242138733077
0,action_only,2030,0.0,0.0,0.039467936271113946,-0.43108336076345866,-0.0020020605007881054,-0.46518989307802516,,0,-0.1638109788960493
0,action_only,2030,0.0,0.0,0.06205152188869095,-0.464544024075189,0.03995502402254755,-0.3786386870963008,,0,-0.09424161668138364
0,action_only,2030,0.0,0.0,-0.13371271560443138,-0.2805805024807255,-0.023090921287984234,-0.7598913679230228,,0,-0.29867872875637136
0,action_only,2030,0.0,0.0,-0.19783396007151605,-0.09498100989584568,0.08431783029709747,0.6849151318630617,,0,-0.18580974605815984
0,action_only,2030,0.0,0.0,-0.04794666198426195,0.21103313285010683,-0.04749904442938542,0.2746714753603463,,0,-0.021857011978463486
0,action_only,2030,0.0,0.0,0.18459989159238321,-0.29048621819121834,0.13687854976409183,-0.38116787349079484,,0,-0.02385997578995873
0,action_only,2030,0.0,0.0,-0.052596513525193234,0.3728039044424841,0.04544368088243514,0.2619753303164607,,0,-0.13458882216530477
0,action_only,2030,0.0,0.0,-0.13023886920061645,-0.4000915140241518,0.11025984943854675,0.26190545607406035,,0,-0.12121120988329162
0,action_only,2030,0.0,0.0,0.07363891060096278,0.39055726666343815,-0.0006869946930977144,-0.3965470574024279,,0,-0.02268653484994571
0,action_only,2030,0.0,0.0,-0.0604382319260936,0.27485034661966123,0.06813537822018145,0.16366773976564253,,0,-0.10537344128901144
0,action_only,2030,0.0,0.0,-0.05218653577595406,-0.05363362003716077,-0.05397920266786094,0.007692874763531199,,0,-0.025553512308488614
0,action_only,2031,0.0,0.0,-0.05719559306725752,0.029977481420147667,0.12842040260494766,0.2967636762235082,,0,-0.16104492078671928
0,action_only,2031,0.0,0.0,0.00041479846092579153,0.2721927656375751,0.11014879009583631,0.3854936434772629,,0,-0.2529237814122108
0,action_only,2031,0.0,0.0,-0.07587045350273108,-0.25069801024430605,0.08963116482608541,0.38660453020354213,,0,-0.08026297592362208
0,action_only,2031,0.0,0.0,-0.16072924027203384,0.4939430909001882,-0.1358630047616157,-0.8812733049729311,,0,-0.29077490467531547
0,action_only,2031,0.0,0.0,0.24478606058792612,0.21544858332038674,-0.06602284886490674,0.9546284718587277,,0,-0.23813274678092838
