duration,learner_seed,evaluation_seed,condition,batch,true_reward_mean,logged_reward_mean,max_abs_poison,known_sign_flag,scalar_envelope_flag,batch_mean_envelope_flag,trusted_recomputation_flag
24,2404,9404,constrained,23,-0.4910886368888696,-1.0193823542320704,1.9999318400032164,False,False,False,True
48,2400,9400,clean,0,-3.051688686409277,-3.051688686409277,0.0,False,False,True,False
48,2400,9400,clean,1,-1.1385663270646926,-1.1385663270646926,0.0,False,False,False,False
48,2400,9400,clean,2,-0.4918592028403695,-0.4918592028403695,0.0,False,False,False,False
48,2400,9400,clean,3,-0.29343448005379474,-0.29343448005379474,0.0,False,False,False,False
48,2400,9400,clean,4,-0.1984471493836149,-0.1984471493836149,0.0,False,False,False,False
48,2400,9400,clean,5,-0.31610127104584995,-0.31610127104584995,0.0,False,False,False,False
48,2400,9400,clean,6,-0.23080295655929142,-0.23080295655929142,0.0,False,False,False,False
48,2400,9400,clean,7,-0.13897070740685372,-0.13897070740685372,0.0,False,False,False,False
48,2400,9400,clean,8,-0.08131810444728521,-0.08131810444728521,0.0,False,False,False,False
48,2400,9400,clean,9,-0.09546766409601044,-0.09546766409601044,0.0,False,False,False,False
48,2400,9400,clean,10,-0.11837275591522695,-0.11837275591522695,0.0,False,False,False,False
48,2400,9400,clean,11,-0.09969337465402034,-0.09969337465402034,0.0,False,False,False,False
48,2400,9400,clean,12,-0.17772956601460213,-0.17772956601460213,0.0,False,False,False,False
48,2400,9400,clean,13,-0.11083314741424694,-0.11083314741424694,0.0,False,False,False,False
48,2400,9400,clean,14,-0.18514911956509084,-0.18514911956509084,0.0,False,False,False,False
48,2400,9400,clean,15,-0.15871868481443682,-0.15871868481443682,0.0,False,False,False,False
48,2400,9400,clean,16,-0.14036076064407532,-0.14036076064407532,0.0,False,False,False,False
48,2400,9400,clean,17,-0.14900885921368334,-0.14900885921368334,0.0,False,False,False,False
48,2400,9400,clean,18,-1.556425438404105,-1.556425438404105,0.0,False,False,False,False
48,2400,9400,clean,19,-2.3578990569434906,-2.3578990569434906,0.0,False,False,False,False
48,2400,9400,clean,20,-1.0116856652267407,-1.0116856652267407,0.0,False,False,False,False
48,2400,9400,clean,21,-0.4205432273561779,-0.4205432273561779,0.0,False,False,False,False
48,2400,9400,clean,22,-0.2719512545333919,-0.2719512545333919,0.0,False,False,False,False
48,2400,9400,clean,23,-0.2658537031117304,-0.2658537031117304,0.0,False,False,False,False
48,2400,9400,clean,24,-0.1534022612078655,-0.1534022612078655,0.0,False,False,False,False
48,2400,9400,clean,25,-0.09756343022253233,-0.09756343022253233,0.0,False,False,False,False
48,2400,9400,clean,26,-0.1319519918359106,-0.1319519918359106,0.0,False,False,False,False
48,2400,9400,clean,27,-0.1360740272803065,-0.1360740272803065,0.0,False,False,False,False
48,2400,9400,clean,28,-0.18883947196126913,-0.18883947196126913,0.0,False,False,False,False
48,2400,9400,clean,29,-0.23110879246026533,-0.23110879246026533,0.0,False,False,False,False
48,2400,9400,clean,30,-0.2719709074544905,-0.2719709074544905,0.0,False,False,False,False
48,2400,9400,clean,31,-0.34066078394348864,-0.34066078394348864,0.0,False,False,False,False
48,2400,9400,clean,32,-0.4106161618227981,-0.4106161618227981,0.0,False,False,False,False
48,2400,9400,clean,33,-0.49854835894563515,-0.49854835894563515,0.0,False,False,False,False
48,2400,9400,clean,34,-0.5627105443185302,-0.5627105443185302,0.0,False,False,False,False
48,2400,9400,clean,35,-0.665004191700345,-0.665004191700345,0.0,False,False,False,False
48,2400,9400,clean,36,-0.8350252017298463,-0.8350252017298463,0.0,False,False,False,False
48,2400,9400,clean,37,-3.307347745557847,-3.307347745557847,0.0,False,True,True,False
48,2400,9400,clean,38,-2.5476907407805918,-2.5476907407805918,0.0,False,False,False,False
48,2400,9400,clean,39,-0.8854760901596406,-0.8854760901596406,0.0,False,False,False,False
48,2400,9400,clean,40,-0.38774081145300165,-0.38774081145300165,0.0,False,False,False,False
48,2400,9400,clean,41,-0.4714307094041189,-0.4714307094041189,0.0,False,False,False,False
48,2400,9400,clean,42,-0.5316764923470803,-0.5316764923470803,0.0,False,False,False,False
48,2400,9400,clean,43,-0.49154690486511166,-0.49154690486511166,0.0,False,False,False,False
48,2400,9400,clean,44,-0.5126880054348871,-0.5126880054348871,0.0,False,False,False,False
48,2400,9400,clean,45,-0.484829329619805,-0.484829329619805,0.0,False,False,False,False
48,2400,9400,clean,46,-0.6156149839843243,-0.6156149839843243,0.0,False,False,False,False
48,2400,9400,clean,47,-0.645713349810399,-0.645713349810399,0.0,False,False,False,False
48,2400,9400,unconstrained,0,-3.051688686409277,-3.2856976941949174,1.9999999138316809,True,True,True,True
48,2400,9400,unconstrained,1,-1.1385663270646926,-1.2537646172205,1.9994714834529137,True,True,False,True
48,2400,9400,unconstrained,2,-0.48663575603033465,-0.24229824408726386,1.8495553980686974,True,True,False,True
48,2400,9400,unconstrained,3,-0.329377011870521,-0.9883579372177936,1.257928804673021,True,True,False,True
48,2400,9400,unconstrained,4,-0.28398689871832145,-0.16588299202083268,1.1370110855407518,True,True,False,True
48,2400,9400,unconstrained,5,-0.4782323421079486,-0.9560702560550485,1.5398862772057276,False,False,False,True
48,2400,9400,unconstrained,6,-0.46732874557449394,-0.521123183261571,1.9970312478781718,True,True,False,True
48,2400,9400,unconstrained,7,-0.3830364160144405,0.9618601276765958,1.9998616638538402,True,True,False,True
48,2400,9400,unconstrained,8,-0.359593418345348,0.5879343845450566,1.9999253832540218,True,True,False,True
48,2400,9400,unconstrained,9,-0.3919035684124801,-0.09527564344295153,1.9998721907143593,True,True,False,True
48,2400,9400,unconstrained,10,-0.4713734492614989,-0.7180159070822898,1.9929641586786786,True,True,False,True
48,2400,9400,unconstrained,11,-0.5167851561855231,-0.5788337508782784,0.7627682140697924,True,True,False,True
48,2400,9400,unconstrained,12,-0.7814906273874682,-0.6556830688034389,1.662690444859314,True,True,False,True
