learner_seed,batch,step,true_reward,logged_reward,reward_delta,feature_gain_coordinate,feature_bias_coordinate,exploration_noise,done
2070,6,5,-0.18510592334264392,-0.42636330358027047,-0.24125738023762655,-0.0536352961314834,1.0,0.9052087642043098,0.0
2070,6,6,-0.13796030482532698,-0.38088244207775646,-0.2429221372524295,-0.04503735206982265,1.0,1.0454424701844722,0.0
2070,6,7,-0.0902028197343975,-0.01603442038059298,0.07416839935380452,-0.0515273913207259,1.0,-0.2564717862149755,0.0
2070,7,0,-0.08127719051080562,-0.01603442038059298,0.06524277013021264,-0.06139867356664131,1.0,-0.13192790469620774,0.0
2070,7,1,-0.10529877111258426,-0.01603442038059298,0.08926435073199128,-0.06632813236332274,1.0,-0.6777711085410039,0.0
2070,7,2,-0.11764439862179463,-0.37797106316661433,-0.2603266645448197,-0.06343608800469672,1.0,0.9035851993497703,0.0
2070,7,3,-0.08844797008873209,-0.34300601115215257,-0.2545580410634205,-0.061809322114336006,1.0,0.7747423077347314,0.0
2070,7,4,-0.10995061111556476,-0.01603442038059298,0.09391619073497177,-0.0698323170096736,1.0,-0.5885936165025646,0.0
2070,7,5,-0.15689771854587287,-0.016034420380592995,0.14086329816527987,-0.07583740553964118,1.0,-1.1780105316217353,0.0
2070,7,6,-0.10368427948593098,-0.01603442038059298,0.087649859105338,-0.06839980333581484,1.0,0.2334665261267601,0.0
2070,7,7,-0.053982657121039515,-0.01603442038059298,0.037948236740446534,-0.05949554107249393,1.0,-0.400887507063385,0.0
2070,8,0,-0.061347296853245845,-0.01603442038059298,0.04531287647265286,-0.05717821227931807,1.0,-0.20151979564379668,0.0
2070,8,1,-0.06758372096800472,-0.1486100128567606,-0.08102629188875587,-0.052669866837356326,1.0,0.5667704364094635,0.0
2070,8,2,-0.06260283652306951,-0.01603442038059298,0.04656841614247653,-0.04900779731934141,1.0,-0.4758815151055984,0.0
2070,8,3,-0.18486263034960618,-0.3373552106203519,-0.15249258027074575,-0.04580571023033838,1.0,1.2512213904572542,0.0
2070,8,4,-0.14470149959543127,-0.2977673591884387,-0.15306585959300745,-0.04928522440400475,1.0,1.7442297594047418,0.0
2070,8,5,-0.18006839877221403,-0.016034420380592995,0.16403397839162104,-0.06796002178810742,1.0,-0.25541580440118533,0.0
2070,8,6,-0.1055258754211107,-0.01603442038059298,0.08949145504051771,-0.0844228327275097,1.0,-0.06632401474196062,0.0
2070,8,7,-0.05721242608583342,-0.01603442038059298,0.04117800570524044,-0.08780707627393054,1.0,0.1709964272239354,0.0
2070,9,0,-0.24368638519858615,-0.016034420380592995,0.22765196481799316,-0.08706417679672787,1.0,-1.728337547911531,0.0
2070,9,1,-0.16724165884827175,-0.33433700252912574,-0.167095343680854,-0.07587323217295601,1.0,1.0496875706533435,0.0
2070,9,2,-0.06434984154231654,-0.01603442038059298,0.04831542116172356,-0.06355154563246239,1.0,-0.4879745884900457,0.0
2070,9,3,-0.09757338053393279,-0.01603442038059298,0.0815389601533398,-0.05777238408236394,1.0,-1.2454479373206804,0.0
2070,9,4,-0.06411231043054978,-0.01603442038059298,0.0480778900499568,-0.043955316283358775,1.0,0.09118683351834483,0.0
2070,9,5,-0.09996188062223543,-0.01603442038059298,0.08392746024164245,-0.027906705789211773,1.0,-1.292092078116258,0.0
2070,9,6,-0.3824809307035048,-0.552672778558561,-0.17019184785505614,-0.00878026077261645,1.0,1.4984148067707637,0.0
2070,9,7,-0.1382117854074052,-0.2904362902961508,-0.15222450488874562,0.0014492557204966823,1.0,0.8045132222881402,0.0
2070,10,0,-0.11345532990767335,-0.2751570903527306,-0.16170176044505724,-0.007949211807172101,1.0,0.5079896529539107,0.0
2070,10,1,-0.10748924188174466,-0.01603442038059298,0.09145482150115168,-0.025636245731313668,1.0,-0.45907792132542574,0.0
2070,10,2,-0.09889136906281587,-0.01603442038059298,0.08285694868222289,-0.043192503898736904,1.0,0.009906440602214281,0.0
2070,10,3,-0.1256925970558059,-0.34693530073675094,-0.221242703680945,-0.0583510249324418,1.0,0.6785091965154777,0.0
2070,10,4,-0.11853736870551485,-0.3419315994927929,-0.22339423078727805,-0.07735686443676532,1.0,0.6905281922110624,0.0
2070,10,5,-0.20912530277429475,-0.016034420380592995,0.19309088239370176,-0.10054347284828316,1.0,-0.7855765719328089,0.0
2070,10,6,-0.13812666106669952,-0.01603442038059298,0.12209224068610654,-0.11662745122236147,1.0,-0.700091130851622,0.0
2070,10,7,-0.13287822203069088,-0.01603442038059298,0.1168438016500979,-0.12044835122687478,1.0,-1.0053877420054547,0.0
2070,11,0,-0.10229816467177788,-0.6530570240618546,-0.5507588593900767,-0.11496003960433855,1.0,0.869400991644599,0.0
2070,11,1,-0.13558135632982293,-0.01603442038059298,0.11954693594922995,-0.10903533371103488,1.0,-0.6190903390656719,0.0
2070,11,2,-0.13483688342180014,-0.01603442038059298,0.11880246304120716,-0.10208380273708728,1.0,-0.9007876402053768,0.0
2070,11,3,-0.13796706609887993,-0.01603442038059298,0.12193264571828695,-0.0853580868351716,1.0,-1.2893502984943463,0.0
2070,11,4,-0.10094693945456913,-0.01603442038059298,0.08491251907397615,-0.05843481904489891,1.0,-0.7155052816949055,0.0
2070,11,5,-0.1422478452044978,-0.016034420380592995,0.1262134248239048,-0.029646074440360094,1.0,-0.10869369141285937,0.0
2070,11,6,-0.09542429965900898,-0.01603442038059298,0.079389879278416,-0.009841213233075817,1.0,-0.6424561081882031,0.0
2070,11,7,-0.15466117893876907,-0.2547001874337129,-0.10003900849494385,0.004631645616049343,1.0,0.32843281140854996,0.0
