duration,learner_seed,evaluation_seed,condition,mechanism,selected_index,init_x,init_x_dot,init_theta,init_theta_dot,snapshot_initially_accepted,casadi_full_first_violation_step,physical_first_violation_step,forward_switch_step,baseline_control_steps,mean_reward
12,2400,9400,unconstrained,raw_release,22,-0.045737319864144865,-0.2813796654251627,0.14312426940169617,0.28787492606218845,True,,,,0,-1.3375645470337765
12,2400,9400,unconstrained,resident_predictive_authority,22,-0.045737319864144865,-0.2813796654251627,0.14312426940169617,0.28787492606218845,True,,,,0,-1.3375645470337765
12,2400,9400,unconstrained,raw_release,23,0.11470748407873571,-0.34747283113118177,0.04609096158832826,-0.7336032949778799,True,8,8,,0,-1.415609081412732
12,2400,9400,unconstrained,resident_predictive_authority,23,0.11470748407873571,-0.34747283113118177,0.04609096158832826,-0.7336032949778799,True,8,,4,79,-0.26830463064663296
12,2400,9400,constrained,raw_release,0,-0.20457030257357556,0.3122183714121225,0.13797305764757425,-0.20149906101577741,True,,,,0,-1.0076328389492961
12,2400,9400,constrained,resident_predictive_authority,0,-0.20457030257357556,0.3122183714121225,0.13797305764757425,-0.20149906101577741,True,,,,0,-1.0076328389492961
12,2400,9400,constrained,raw_release,1,-0.18507064985575206,0.4655501241356006,-0.032931744614526554,0.3915259142609302,True,,,,0,-1.009943288381441
12,2400,9400,constrained,resident_predictive_authority,1,-0.18507064985575206,0.4655501241356006,-0.032931744614526554,0.3915259142609302,True,,,,0,-1.009943288381441
12,2400,9400,constrained,raw_release,2,0.018770695754169453,-0.15123468955348707,-0.03184137000020151,-0.7236099756456811,True,10,10,,0,-1.1281588563418599
12,2400,9400,constrained,resident_predictive_authority,2,0.018770695754169453,-0.15123468955348707,-0.03184137000020151,-0.7236099756456811,True,10,,6,83,-0.3331269933612933
12,2400,9400,constrained,raw_release,3,0.2426498335695204,-0.23893712247139653,-0.13613023150202916,-0.7456082364618895,True,10,10,,0,-1.3266228109441276
12,2400,9400,constrained,resident_predictive_authority,3,0.2426498335695204,-0.23893712247139653,-0.13613023150202916,-0.7456082364618895,True,10,,6,101,-0.49000068173561007
12,2400,9400,constrained,raw_release,4,0.18760208180564814,0.4975976321097113,-0.08604830033435232,-0.6295011259086787,True,,,,0,-1.0044346962389705
12,2400,9400,constrained,resident_predictive_authority,4,0.18760208180564814,0.4975976321097113,-0.08604830033435232,-0.6295011259086787,True,,,,0,-1.0044346962389705
12,2400,9400,constrained,raw_release,5,0.05913988638347273,-0.2061283095732509,0.07435560999773366,-0.6141801979984394,True,,,,0,-1.0035047447059304
12,2400,9400,constrained,resident_predictive_authority,5,0.05913988638347273,-0.2061283095732509,0.07435560999773366,-0.6141801979984394,True,,,,0,-1.0035047447059304
12,2400,9400,constrained,raw_release,6,0.09167581285677828,-0.024432328628856248,-0.10962517928220314,0.7727628784654466,True,,,,0,-0.9705709317890157
12,2400,9400,constrained,resident_predictive_authority,6,0.09167581285677828,-0.024432328628856248,-0.10962517928220314,0.7727628784654466,True,,,,0,-0.9705709317890157
12,2400,9400,constrained,raw_release,7,-0.060267440135725214,0.4437352475873122,-0.004560556153496126,-0.8831635110016007,True,,,,0,-1.0113675260768153
12,2400,9400,constrained,resident_predictive_authority,7,-0.060267440135725214,0.4437352475873122,-0.004560556153496126,-0.8831635110016007,True,,,,0,-1.0113675260768153
