learner_seed,mechanism,horizon,guard_margin,evaluated_pairs,certified_pairs,rejected_pairs,pybullet_safe_pairs,true_acceptances,false_acceptances,true_rejections,false_rejections,certificate_coverage,pybullet_safe_rate,false_acceptance_rate_certified,false_rejection_rate_rejected,worst_pybullet_normalized_margin_certified,max_action_interface_error
pooled,poisoned_commit_gate_snapshot,20,0.003,432,432,0,432,432,0,0,0,1.0,1.0,0.0,0.0,-0.18723693171385425,0.0
2040,poisoned_commit_gate_snapshot,20,0.003,144,144,0,144,144,0,0,0,1.0,1.0,0.0,0.0,-0.21157124352303802,0.0
2041,poisoned_commit_gate_snapshot,20,0.003,144,144,0,144,144,0,0,0,1.0,1.0,0.0,0.0,-0.20985010816458738,0.0
2042,poisoned_commit_gate_snapshot,20,0.003,144,144,0,144,144,0,0,0,1.0,1.0,0.0,0.0,-0.18723693171385425,0.0
pooled,poisoned_commit_gate_snapshot,20,0.005,432,432,0,432,432,0,0,0,1.0,1.0,0.0,0.0,-0.18723693171385425,0.0
2040,poisoned_commit_gate_snapshot,20,0.005,144,144,0,144,144,0,0,0,1.0,1.0,0.0,0.0,-0.21157124352303802,0.0
2041,poisoned_commit_gate_snapshot,20,0.005,144,144,0,144,144,0,0,0,1.0,1.0,0.0,0.0,-0.20985010816458738,0.0
2042,poisoned_commit_gate_snapshot,20,0.005,144,144,0,144,144,0,0,0,1.0,1.0,0.0,0.0,-0.18723693171385425,0.0
pooled,poisoned_commit_gate_snapshot,20,0.01,432,432,0,432,432,0,0,0,1.0,1.0,0.0,0.0,-0.18723693171385425,0.0
2040,poisoned_commit_gate_snapshot,20,0.01,144,144,0,144,144,0,0,0,1.0,1.0,0.0,0.0,-0.21157124352303802,0.0
2041,poisoned_commit_gate_snapshot,20,0.01,144,144,0,144,144,0,0,0,1.0,1.0,0.0,0.0,-0.20985010816458738,0.0
2042,poisoned_commit_gate_snapshot,20,0.01,144,144,0,144,144,0,0,0,1.0,1.0,0.0,0.0,-0.18723693171385425,0.0
pooled,poisoned_commit_gate_snapshot,50,0.0,432,432,0,432,432,0,0,0,1.0,1.0,0.0,0.0,-0.13351530023378277,0.0
2040,poisoned_commit_gate_snapshot,50,0.0,144,144,0,144,144,0,0,0,1.0,1.0,0.0,0.0,-0.16250917612229923,0.0
2041,poisoned_commit_gate_snapshot,50,0.0,144,144,0,144,144,0,0,0,1.0,1.0,0.0,0.0,-0.16225454373135884,0.0
2042,poisoned_commit_gate_snapshot,50,0.0,144,144,0,144,144,0,0,0,1.0,1.0,0.0,0.0,-0.13351530023378277,0.0
pooled,poisoned_commit_gate_snapshot,50,0.001,432,432,0,432,432,0,0,0,1.0,1.0,0.0,0.0,-0.13351530023378277,0.0
2040,poisoned_commit_gate_snapshot,50,0.001,144,144,0,144,144,0,0,0,1.0,1.0,0.0,0.0,-0.16250917612229923,0.0
2041,poisoned_commit_gate_snapshot,50,0.001,144,144,0,144,144,0,0,0,1.0,1.0,0.0,0.0,-0.16225454373135884,0.0
2042,poisoned_commit_gate_snapshot,50,0.001,144,144,0,144,144,0,0,0,1.0,1.0,0.0,0.0,-0.13351530023378277,0.0
pooled,poisoned_commit_gate_snapshot,50,0.003,432,432,0,432,432,0,0,0,1.0,1.0,0.0,0.0,-0.13351530023378277,0.0
2040,poisoned_commit_gate_snapshot,50,0.003,144,144,0,144,144,0,0,0,1.0,1.0,0.0,0.0,-0.16250917612229923,0.0
2041,poisoned_commit_gate_snapshot,50,0.003,144,144,0,144,144,0,0,0,1.0,1.0,0.0,0.0,-0.16225454373135884,0.0
2042,poisoned_commit_gate_snapshot,50,0.003,144,144,0,144,144,0,0,0,1.0,1.0,0.0,0.0,-0.13351530023378277,0.0
pooled,poisoned_commit_gate_snapshot,50,0.005,432,432,0,432,432,0,0,0,1.0,1.0,0.0,0.0,-0.13351530023378277,0.0
2040,poisoned_commit_gate_snapshot,50,0.005,144,144,0,144,144,0,0,0,1.0,1.0,0.0,0.0,-0.16250917612229923,0.0
2041,poisoned_commit_gate_snapshot,50,0.005,144,144,0,144,144,0,0,0,1.0,1.0,0.0,0.0,-0.16225454373135884,0.0
2042,poisoned_commit_gate_snapshot,50,0.005,144,144,0,144,144,0,0,0,1.0,1.0,0.0,0.0,-0.13351530023378277,0.0
pooled,poisoned_commit_gate_snapshot,50,0.01,432,432,0,432,432,0,0,0,1.0,1.0,0.0,0.0,-0.13351530023378277,0.0
2040,poisoned_commit_gate_snapshot,50,0.01,144,144,0,144,144,0,0,0,1.0,1.0,0.0,0.0,-0.16250917612229923,0.0
2041,poisoned_commit_gate_snapshot,50,0.01,144,144,0,144,144,0,0,0,1.0,1.0,0.0,0.0,-0.16225454373135884,0.0
2042,poisoned_commit_gate_snapshot,50,0.01,144,144,0,144,144,0,0,0,1.0,1.0,0.0,0.0,-0.13351530023378277,0.0
pooled,poisoned_commit_gate_snapshot,100,0.0,432,411,21,411,411,0,21,0,0.9513888888888888,0.9513888888888888,0.0,0.0,-0.002599153622874148,0.0
2040,poisoned_commit_gate_snapshot,100,0.0,144,140,4,140,140,0,4,0,0.9722222222222222,0.9722222222222222,0.0,0.0,-0.003856098257966137,0.0
2041,poisoned_commit_gate_snapshot,100,0.0,144,144,0,144,144,0,0,0,1.0,1.0,0.0,0.0,-0.00331738267382857,0.0
2042,poisoned_commit_gate_snapshot,100,0.0,144,127,17,127,127,0,17,0,0.8819444444444444,0.8819444444444444,0.0,0.0,-0.002599153622874148,0.0
pooled,poisoned_commit_gate_snapshot,100,0.001,432,411,21,411,411,0,21,0,0.9513888888888888,0.9513888888888888,0.0,0.0,-0.002599153622874148,0.0
2040,poisoned_commit_gate_snapshot,100,0.001,144,140,4,140,140,0,4,0,0.9722222222222222,0.9722222222222222,0.0,0.0,-0.003856098257966137,0.0
2041,poisoned_commit_gate_snapshot,100,0.001,144,144,0,144,144,0,0,0,1.0,1.0,0.0,0.0,-0.00331738267382857,0.0
