learner_seed,evaluation_seed,mechanism,selected_index,admitted_index,init_x,init_x_dot,init_theta,init_theta_dot,poison_initially_accepted,snapshot_initially_accepted,clean_casadi_full_first_violation_step,physical_first_violation_step,forward_switch_step,baseline_control_steps,mean_reward,paired_clean_release_violation_step
2103,9103,clean_resident_predictive_simplex,21,28,0.13718009535628256,-0.388674422061951,0.03806770960196759,-0.09250482031877039,True,True,-1,-1,-1,0,-0.014179416632849353,-1
2103,9103,clean_resident_predictive_simplex,22,29,0.13865237375931705,-0.451208716757478,0.0015109750915561215,-0.8460343888045601,True,True,-1,-1,-1,0,-0.2696004502462758,-1
2103,9103,clean_resident_predictive_simplex,23,31,0.21010863496777282,0.02131573421270716,-0.002807215555012066,-0.6484309789857869,True,True,-1,-1,-1,0,-0.06348672868989923,-1
2104,9104,clean_resident_predictive_simplex,0,0,0.12961174455472352,0.20441614975368472,0.00686368316939448,-0.41079008080507595,True,True,-1,-1,-1,0,-0.04320495558643391,-1
2104,9104,clean_resident_predictive_simplex,1,1,0.15955394505855508,-0.3848898399234111,0.07146620819785479,0.3555848790554901,True,True,-1,-1,-1,0,-0.0476486872869674,-1
2104,9104,clean_resident_predictive_simplex,2,2,0.15292422880928053,-0.24703433388304363,-0.13781543617701714,-0.31140511658215275,True,True,-1,-1,-1,0,-0.24240823074841633,-1
2104,9104,clean_resident_predictive_simplex,3,4,0.23455914157715013,-0.17819625824917018,-0.07901961370960628,0.3562433844440327,True,True,-1,-1,-1,0,-0.031642960658571806,-1
2104,9104,clean_resident_predictive_simplex,4,5,-0.036645293393704204,-0.4906702962395416,-0.05407946138306095,0.2292169413271461,True,True,-1,-1,-1,0,-0.0835158797738507,-1
2104,9104,clean_resident_predictive_simplex,5,6,0.07717836628411534,-0.29833628707611837,0.025546419697721756,-0.6845543958756319,True,True,-1,-1,-1,0,-0.1671565415513336,-1
2104,9104,clean_resident_predictive_simplex,6,8,0.043805924760824344,0.07122271643926537,0.14755109982496248,0.1157251569820823,True,True,-1,-1,-1,0,-0.15331401765627647,-1
2104,9104,clean_resident_predictive_simplex,7,9,0.04926526036390333,0.1518972357333377,0.1110708597578299,-0.3851135738339788,True,True,-1,-1,-1,0,-0.03483995233626615,-1
2104,9104,clean_resident_predictive_simplex,8,10,-0.0778931381595081,0.2606251080876738,0.06386027474431333,-0.07664949460327919,True,True,-1,-1,-1,0,-0.0687450586457205,-1
2104,9104,clean_resident_predictive_simplex,9,12,0.09036266879612487,0.06824686130237212,0.0010296043606564664,0.8072916836671595,True,True,-1,-1,-1,0,-0.2011374654041709,-1
2104,9104,clean_resident_predictive_simplex,10,13,0.03926422364606763,0.09547673020689085,0.082786761910661,0.4107252536253463,True,True,-1,-1,-1,0,-0.16793827240034345,-1
2104,9104,clean_resident_predictive_simplex,11,14,0.20521913973173006,-0.2582980001798093,-0.0115843674388382,0.13048579837852325,True,True,-1,-1,-1,0,-0.009463590077577124,-1
2104,9104,clean_resident_predictive_simplex,12,16,0.11709252952021765,0.04836051667647878,-0.023239474342139632,-0.9765761229220169,True,True,-1,-1,-1,0,-0.2248900639097706,-1
2104,9104,clean_resident_predictive_simplex,13,17,0.20837586052024193,0.42952905992175694,0.023120687718691135,-0.8862426693770165,True,True,-1,-1,-1,0,-0.1675261177086852,-1
2104,9104,clean_resident_predictive_simplex,14,18,-0.22838924871638988,-0.3833553195924597,-0.023801457618620014,-0.528932971637863,True,True,-1,-1,-1,0,-0.29541707508183207,-1
2104,9104,clean_resident_predictive_simplex,15,20,0.0042336789979133815,-0.06519491900736762,0.08886908791880815,0.4263876584195412,True,True,-1,-1,-1,0,-0.1265347314420411,-1
2104,9104,clean_resident_predictive_simplex,16,21,-0.24405639344895258,0.1569502257748362,0.021778397060729815,-0.01329856558592768,True,True,-1,-1,-1,0,-0.02736402056869509,-1
2104,9104,clean_resident_predictive_simplex,17,22,-0.16271136305382922,-0.012940159286256692,0.13881498501219372,-0.6183115032915827,True,True,-1,-1,-1,0,-0.04587184766102675,-1
2104,9104,clean_resident_predictive_simplex,18,24,-0.1804394938480834,0.3810648242164417,0.08044830770055778,0.2689382068487838,True,True,-1,-1,-1,0,-0.17017513395324096,-1
2104,9104,clean_resident_predictive_simplex,19,25,0.1974359367450252,-0.48272820071444467,-0.06334465385126174,0.8722060382125307,True,True,-1,-1,-1,0,-0.0702950786430003,-1
2104,9104,clean_resident_predictive_simplex,20,26,-0.11883592963348899,-0.42971382373239964,-0.08918994748920558,0.4408616850461209,True,True,-1,-1,-1,0,-0.051182026312796836,-1
2104,9104,clean_resident_predictive_simplex,21,28,-0.11724439241915746,-0.2514564409573491,0.03628672626707821,-0.7773442055770621,True,True,-1,-1,-1,0,-0.2162606671908257,-1
2104,9104,clean_resident_predictive_simplex,22,29,-0.11524928542387547,0.07409065117791336,-0.0778068988755753,0.40673271440893966,True,True,-1,-1,-1,0,-0.014302507663898225,-1
2104,9104,clean_resident_predictive_simplex,23,31,-0.19407280174098018,-0.16391340661787812,0.06293817845780711,-0.8243482631547718,True,True,-1,-1,-1,0,-0.18284365249048817,-1
