mechanism,batch,true_reward_mean,logged_reward_mean,max_reward_poison,gradient_w0,gradient_w1,gradient_norm,learner_w0,learner_w1,effective_gain,effective_bias
poisoned_always_freeze_snapshot,7,-0.06276271506113058,0.5330414988327256,1.9998919396549442,0.022873185710036992,-0.21813199545195683,0.21932795094191335,0.0,0.0,0.0,0.0
poisoned_always_freeze_snapshot,8,-0.059561028108182826,-0.2326127168325292,1.9999953177533032,0.04524409791891574,-0.43319108748839835,0.43554741036525246,0.0,0.0,0.0,0.0
poisoned_always_freeze_snapshot,9,-0.14211181000919446,0.6223416716971475,1.999999999990065,0.07780458916538428,-0.9969686283453486,1.0,0.0,0.0,0.0,0.0
poisoned_always_freeze_snapshot,10,-0.08703251879320803,0.34812704671362044,1.9999997603565887,0.0708136704790165,-0.9192542675303057,0.9219777569439458,0.0,0.0,0.0,0.0
poisoned_always_freeze_snapshot,11,-0.0683835294639707,-0.8241973191054572,1.9999996043789956,0.06169892919056228,-0.4350652148700682,0.4394183644924284,0.0,0.0,0.0,0.0
clean_a2c_snapshot,0,-2.966811587308534,-2.966811587308534,0.0,0.00854070745173777,0.01565438684050626,0.017832652947006644,0.00854070745173777,0.01565438684050626,0.04270353725868885,0.01565438684050626
clean_a2c_snapshot,1,-1.2043661052253816,-1.2043661052253816,0.0,0.20685156774388636,0.1475476967585761,0.2540824549174231,0.21539227519562412,0.16320208359908236,1.0769613759781205,0.16320208359908236
clean_a2c_snapshot,2,-0.477798203372771,-0.477798203372771,0.0,0.355165417465456,0.5128882990828935,0.6238564587303358,0.5705576926610801,0.6760903826819759,2.8527884633054006,0.6760903826819759
clean_a2c_snapshot,3,-0.23960601807638984,-0.23960601807638984,0.0,0.4510653307852751,0.8924909340511927,1.0,1.0216230234463552,1.5685813167331686,5.108115117231776,1.5685813167331686
clean_a2c_snapshot,4,-0.18575943028102587,-0.18575943028102587,0.0,-0.04491207445369335,-0.6477054770996266,0.6492607176601622,0.9767109489926619,0.920875839633542,4.883554744963309,0.920875839633542
clean_a2c_snapshot,5,-0.11830714795333494,-0.11830714795333494,0.0,-0.03346614308836861,0.35024940828834644,0.35184461163921205,0.9432448059042933,1.2711252479218884,4.716224029521466,1.2711252479218884
clean_a2c_snapshot,6,-0.1070209100798335,-0.1070209100798335,0.0,-0.025157913807334786,0.21503124517504024,0.21649793770072168,0.9180868920969585,1.4861564930969287,4.590434460484792,1.4861564930969287
clean_a2c_snapshot,7,-0.0936788196094194,-0.0936788196094194,0.0,0.016386631683039075,-0.10999981026378056,0.11121366802683609,0.9344735237799976,1.3761566828331482,4.672367618899988,1.3761566828331482
clean_a2c_snapshot,8,-0.11285422506795861,-0.11285422506795861,0.0,0.05616907300735233,-0.5800930658208808,0.5828060824802483,0.9906425967873499,0.7960636170122674,4.95321298393675,0.7960636170122674
clean_a2c_snapshot,9,-0.14868248786980837,-0.14868248786980837,0.0,-0.059770918680499587,-0.10087847163508284,0.11725625253836619,0.9308716781068503,0.6951851453771845,4.654358390534251,0.6951851453771845
clean_a2c_snapshot,10,-0.12929052763838667,-0.12929052763838667,0.0,-0.01565418258849358,-0.29737331970192876,0.2977850646071079,0.9152174955183567,0.3978118256752557,4.576087477591783,0.3978118256752557
clean_a2c_snapshot,11,-0.1511058562990188,-0.1511058562990188,0.0,-0.037563387318184954,-0.1823356794039448,0.1861647336380178,0.8776541082001718,0.2154761462713109,4.388270541000859,0.2154761462713109
poisoned_action_only_snapshot,0,-2.966811587308534,-3.079481602540721,1.9999514176928777,0.09359515464473248,-0.1208094845792952,0.15282337693326356,0.09359515464473248,-0.1208094845792952,0.46797577322366235,-0.1208094845792952
poisoned_action_only_snapshot,1,-1.2043661052253816,-0.832571125754195,1.9999860404026906,-0.19954818409780423,-0.611589237921107,0.6433201953286183,-0.10595302945307175,-0.7323987225004022,-0.5297651472653587,-0.7323987225004022
poisoned_action_only_snapshot,2,-0.49347682053282205,-0.13956131343994488,1.8720457922356137,-0.41860901888685675,-0.546305148503836,0.6882461957578954,-0.5245620483399285,-1.2787038710042382,-2.6228102416996424,-1.2787038710042382
poisoned_action_only_snapshot,3,-0.37357688279673523,-0.282334833021067,1.8800969297169372,-0.22969503998119795,-0.30402949679700597,0.3810429717428269,-0.7542570883211264,-1.5827333678012443,-3.771285441605632,-1.5827333678012443
poisoned_action_only_snapshot,4,-0.25762629952710814,0.7502406586088202,1.9407485366737047,-0.1635292272551112,-0.3212893571823734,0.36051166306420174,-0.9177863155762376,-1.9040227249836177,-4.588931577881188,-1.9040227249836177
poisoned_action_only_snapshot,5,-0.33950599190088976,-1.1718295451731437,1.9886860930587646,-0.05719719058458337,-0.0289106753424849,0.06408857744971187,-0.974983506160821,-1.9329334003261025,-4.874917530804105,-1.9329334003261025
poisoned_action_only_snapshot,6,-0.28481083393879547,-0.8878875462072793,1.9999544317476114,-0.005937092979687791,-0.1279569546895754,0.12809461864762123,-0.9809205991405088,-2.060890355015678,-4.904602995702543,-2.060890355015678
poisoned_action_only_snapshot,7,-0.19657491782924458,0.03968200278882811,1.9955391668218572,0.10705659626515118,-0.5304685410531004,0.5411635500021084,-0.8738640028753576,-2.5913588960687783,-4.369320014376788,-2.5913588960687783
poisoned_action_only_snapshot,8,-0.1761726702785696,-0.6004318750219451,1.9999380525016315,0.12948284210298297,-0.7432051786820432,0.754400254519359,-0.7443811607723746,-3.3345640747508214,-3.7219058038618726,-3.3345640747508214
poisoned_action_only_snapshot,9,-0.19921953530074624,-1.0944728940797899,1.967462009707993,0.08011436797907386,-0.4591431045538366,0.46608014591486496,-0.6642667927933007,-3.793707179304658,-3.321333963966503,-3.793707179304658
poisoned_action_only_snapshot,10,-0.257868922881101,-0.41445015441988403,1.7300499938727247,-0.04274768529686194,-0.7818119155848121,0.7829797161795655,-0.7070144780901626,-4.57551909488947,-3.535072390450813,-4.57551909488947
poisoned_action_only_snapshot,11,-0.3762752318373133,-0.40918859504876576,0.6980010500845368,-0.026734985579356434,-0.017581770924492646,0.03199809561160994,-0.733749463669519,-4.593100865813963,-3.6687473183475947,-4.593100865813963
poisoned_always_freeze_snapshot,0,-2.966811587308534,-3.079481602540721,1.9999514176928777,0.09359515464473248,-0.1208094845792952,0.15282337693326356,0.0,0.0,0.0,0.0
poisoned_always_freeze_snapshot,1,-1.2043661052253816,-0.8340695535100695,1.9999897537787923,-0.19855340545414335,-0.6090886116888613,0.6406343666292824,0.0,0.0,0.0,0.0
poisoned_always_freeze_snapshot,2,-0.4787764366155857,0.01978010633943561,1.9893072754285162,-0.4608904931092708,-0.6386588904441983,0.7875945816103114,0.0,0.0,0.0,0.0
poisoned_always_freeze_snapshot,3,-0.26893712255381685,-0.3068686876744785,1.9999641744009342,-0.21964162336128384,-0.33508369403674954,0.4006538714677471,0.0,0.0,0.0,0.0
poisoned_always_freeze_snapshot,4,-0.17670618989582187,1.0672926020990214,1.9997948739787417,-0.0694352254874206,-0.18094638488150028,0.19381136380556474,0.0,0.0,0.0,0.0
poisoned_always_freeze_snapshot,5,-0.18144981670423124,-1.1464492270473632,1.9999956967890005,-0.04419768869209664,-0.08906435608265631,0.0994278392108653,0.0,0.0,0.0,0.0
