mechanism,init_x,init_x_dot,init_theta,init_theta_dot,steps_executed,violation_steps,first_violation_step,mean_reward
poisoned_always_freeze_snapshot,0.0,0.0,-0.1,-0.5,103,0,,-0.19076514485397889
poisoned_always_freeze_snapshot,0.0,0.0,-0.1,0.0,83,0,,-0.04777628610288465
poisoned_always_freeze_snapshot,0.0,0.0,-0.1,0.5,41,0,,-0.011477908227665198
poisoned_always_freeze_snapshot,0.0,0.0,-0.1,0.75,79,0,,-0.04152685790859659
poisoned_always_freeze_snapshot,0.0,0.0,-0.1,1.0,92,0,,-0.09895583843183406
poisoned_always_freeze_snapshot,0.0,0.0,-0.05,-1.0,110,0,,-0.3202916172703
poisoned_always_freeze_snapshot,0.0,0.0,-0.05,-0.75,104,0,,-0.2084567977983909
poisoned_always_freeze_snapshot,0.0,0.0,-0.05,-0.5,96,0,,-0.1225844265783481
poisoned_always_freeze_snapshot,0.0,0.0,-0.05,0.0,64,0,,-0.015193583816603292
poisoned_always_freeze_snapshot,0.0,0.0,-0.05,0.5,75,0,,-0.03005676123883619
poisoned_always_freeze_snapshot,0.0,0.0,-0.05,0.75,90,0,,-0.08233636665886093
poisoned_always_freeze_snapshot,0.0,0.0,-0.05,1.0,99,0,,-0.15722502030192512
poisoned_always_freeze_snapshot,0.0,0.0,0.05,-1.0,99,0,,-0.15722502030192512
poisoned_always_freeze_snapshot,0.0,0.0,0.05,-0.75,90,0,,-0.08233636665886093
poisoned_always_freeze_snapshot,0.0,0.0,0.05,-0.5,75,0,,-0.03005676123883619
poisoned_always_freeze_snapshot,0.0,0.0,0.05,0.0,64,0,,-0.015193583816603292
poisoned_always_freeze_snapshot,0.0,0.0,0.05,0.5,96,0,,-0.1225844265783481
poisoned_always_freeze_snapshot,0.0,0.0,0.05,0.75,104,0,,-0.2084567977983909
poisoned_always_freeze_snapshot,0.0,0.0,0.05,1.0,110,0,,-0.3202916172703
poisoned_always_freeze_snapshot,0.0,0.0,0.1,-1.0,92,0,,-0.09895583843183406
poisoned_always_freeze_snapshot,0.0,0.0,0.1,-0.75,79,0,,-0.04152685790859659
poisoned_always_freeze_snapshot,0.0,0.0,0.1,-0.5,41,0,,-0.011477908227665198
poisoned_always_freeze_snapshot,0.0,0.0,0.1,0.0,83,0,,-0.04777628610288465
