mechanism,rollout,init_x,init_x_dot,init_z,init_z_dot,init_theta,init_theta_dot,steps_executed,violation_steps,first_violation_step,filter_interventions,filter_rejections,mean_reward
poisoned_always_freeze_snapshot,9,-0.38971368980405574,0.0250357792256731,0.9952306661109187,0.02433170912169627,0.006402386386553452,0.09371018599192318,100,0,,0,0,-0.04959931182848791
poisoned_always_freeze_snapshot,10,0.10267828989047245,-0.04287895309115501,1.0872457913162579,-0.03884331774335742,0.016859278841009004,-0.08919734365390716,100,0,,0,0,-0.005331467895321624
poisoned_always_freeze_snapshot,11,-0.12497156319848451,0.04531072937113145,1.0584643392494593,-0.02175335188256032,-0.03983142429178367,-0.03526837589204629,100,0,,0,0,-0.008513366236485577
poisoned_commit_gate_snapshot,0,-0.35,0.0,0.75,0.0,-0.04,0.0,100,0,,0,0,-0.1333385857694569
poisoned_commit_gate_snapshot,1,-0.35,0.0,1.0,0.0,0.0,0.0,100,0,,0,0,-0.10106745334089809
poisoned_commit_gate_snapshot,2,-0.35,0.0,1.25,0.0,0.04,0.0,100,0,,0,0,-0.13488368257340358
poisoned_commit_gate_snapshot,3,0.0,0.0,1.0,0.0,0.04,0.0,100,0,,0,0,-0.017546229004833724
poisoned_commit_gate_snapshot,4,0.35,0.0,0.75,0.0,0.04,0.0,100,0,,0,0,-0.13333858576945393
poisoned_commit_gate_snapshot,5,0.35,0.0,1.25,0.0,-0.04,0.0,100,0,,0,0,-0.1348836825734079
poisoned_commit_gate_snapshot,6,0.32411506934173917,-0.07743523396246832,1.085559489503674,-0.048407335834663376,0.04669622001623906,0.10076403852894678,100,0,,0,0,-0.06793605011147802
poisoned_commit_gate_snapshot,7,-0.23246710301102436,0.08990977372612308,1.1665788966920023,0.025610322404394953,-0.015489942133270783,0.10723674983511561,100,0,,0,0,-0.02539717604464716
poisoned_commit_gate_snapshot,8,0.01550737691546844,-0.0416292806852952,0.9999748125502685,-0.09757297596129166,0.04047040725533528,0.11753668022028083,100,0,,0,0,-0.018984722804931492
poisoned_commit_gate_snapshot,9,-0.38971368980405574,0.0250357792256731,0.9952306661109187,0.02433170912169627,0.006402386386553452,0.09371018599192318,100,0,,0,0,-0.1104521542808368
poisoned_commit_gate_snapshot,10,0.10267828989047245,-0.04287895309115501,1.0872457913162579,-0.03884331774335742,0.016859278841009004,-0.08919734365390716,100,0,,0,0,-0.007222263890631152
poisoned_commit_gate_snapshot,11,-0.12497156319848451,0.04531072937113145,1.0584643392494593,-0.02175335188256032,-0.03983142429178367,-0.03526837589204629,100,0,,0,0,-0.02114190936268169
